"Genus_species","Dormancy.Class"
"Alstroemeria ligtu","MPD"
"Liquidambar styraciflua","ND"
"Liquidambar styraciflua","PD"
"Atriplex centralasiatica","PD"
"Atriplex patula","PD"
"Cotinus coggygria","PYPD"
"Alepidea amatymbica","MPD"
"Alepidea natalensis","MPD"
"Cicuta virosa","MPD"
"Eryngium maritimum","MPD"
"Ferula assa-foetida","MPD"
"Ferula gummosa","MPD"
"Heracleum candicans","MPD"
"Ligusticopsis wallichiana","MPD"
"Zizia aptera","MPD"
"Ilex maximowicziana","MPD"
"Arum maculatum","MPD"
"Asparagus acutifolius","PD"
"Eucomis autumnalis","MPD"
"Ambrosia artemisiifolia","PD"
"Symphyotrichum oolentangiense","PD"
"Aster laevis","PD"
"Symphyotrichum novae-angliae","PD"
"Baccharis dracunculifolia","ND"
"Bidens pilosa","ND"
"Bidens pilosa","PD"
"Coreopsis lanceolata","PD"
"Echinacea angustifolia","PD"
"Echinacea pallida","PD"
"Echinacea purpurea","PD"
"Galinsoga parviflora","ND"
"Galinsoga parviflora","PD"
"Grindelia glutinosa","PD"
"Grindelia tarapacana","PD"
"Guizotia scabra","PD"
"Helianthus mollis","PD"
"Heliopsis helianthoides","PD"
"Parthenium hysterophorus","PD"
"Silphium integrifolium","PD"
"Solidago canadensis","PD"
"Solidago speciosa","PD"
"Tagetes minuta","ND"
"Tagetes minuta","PD"
"Taraxacum platycarpum","ND"
"Thymophylla tephroleuca","PD"
"Verbesina encelioides","PD"
"Betula utilis subsp. albosinensis","PD"
"Betula glandulosa","PD"
"Betula pendula","PD"
"Betula pendula subsp. mandshurica","PD"
"Betula utilis","PD"
"Carpinus betulus","PD"
"Carpinus orientalis","PD"
"Corylus avellana","PD"
"Sinapis arvensis","PD"
"Capsella bursa-pastoris","PD"
"Polaskia chichipe","ND"
"Celtis pallida","PD"
"Trema cannabina","PD"
"Capparis spinosa","PD"
"Lepyrodiclis holosteoides","PD"
"Cleomella serrulata","PD"
"Combretum bracteosum","PD"
"Terminalia bellirica","ND"
"Terminalia bellirica","PD"
"Tradescantia ohiensis","PD"
"Cornus mas","PD"
"Hesperocyparis arizonica","PD"
"Juniperus communis","PD"
"Juniperus oxycedrus","PD"
"Carex brevior","PD"
"Carex comosa","PD"
"Carex cristatella","PD"
"Carex cryptolepis","PD"
"Carex divisa","PD"
"Carex granularis","PD"
"Carex hystericina","PD"
"Carex lacustris","PD"
"Carex scoparia","PD"
"Carex pendula","PD"
"Carex remota","PD"
"Carex stricta","PD"
"Carex stipata","PD"
"Carex utriculata","PD"
"Carex vulpinoidea","PD"
"Daphniphyllum glaucescens","MPD"
"Hippophae rhamnoides","PD"
"Hippophae salicifolia","PD"
"Arbutus andrachne","PD"
"Vaccinium myrtillus","PD"
"Jatropha curcas","ND"
"Astragalus cyclophyllon","PY"
"Colutea armena","PY"
"Cytisus scoparius","PY"
"Dalbergia cochinchinensis","ND"
"Dalbergia cochinchinensis","PY"
"Lathyrus aphaca","PY"
"Pterocarpus marsupium","PD"
"Pterocarpus santalinus","PD"
"Vicia lutea","PY"
"Vicia villosa","PY"
"Quercus glauca","PD"
"Fagus sylvatica","PD"
"Lithocarpus glaber","PD"
"Quercus glauca","ND"
"Geranium carolinianum","PYPD"
"Geranium carolinianum","PY"
"Ginkgo biloba","MPD"
"Scaevola taccada","PD"
"Scaevola taccada","ND"
"Anigozanthos flavidus","MPD"
"Anigozanthos flavidus","PD"
"Corylopsis coreana","PD"
"Corylopsis sinensis","PD"
"Halophila ovalis","PD"
"Ottelia alismoides","PD"
"Juglans nigra","PD"
"Juglans regia","PD"
"Pterocarya fraxinifolia","PD"
"Satureja montana","PD"
"Vitex rotundifolia","ND"
"Vitex rotundifolia","PD"
"Neolitsea acuminatissima","PD"
"Liriodendron tulipifera","MPD"
"Magnolia grandiflora","MPD"
"Corchorus olitorius","PY"
"Paris polyphylla","MPD"
"Nymphoides peltata","PD"
"Myrica esculenta","PD"
"Eucalyptus ovata","ND"
"Eucalyptus pauciflora","PD"
"Eucalyptus regnans","ND"
"Eucalyptus delegatensis","ND"
"Eucalyptus elata","ND"
"Chrysojasminum fruticans","PD"
"Pedicularis longiflora","PD"
"Pedicularis rex","PD"
"Pedicularis rhinanthoides","PD"
"Paulownia tomentosa","PD"
"Trapella sinensis","PD"
"Phyllanthus emblica","PD"
"Phyllanthus emblica","ND"
"Abies alba","PD"
"Abies amabilis","PD"
"Abies chensiensis","PD"
"Abies grandis","PD"
"Abies lasiocarpa","PD"
"Abies nordmanniana","PD"
"Abies procera","PD"
"Picea abies","PD"
"Picea abies","ND"
"Picea glauca","ND"
"Picea glauca","PD"
"Picea orientalis","ND"
"Picea sitchensis","PD"
"Pinus brutia","ND"
"Pinus brutia","PD"
"Pinus canariensis","ND"
"Pinus wallichiana","PD"
"Pinus halepensis","ND"
"Pinus heldreichii","PD"
"Pinus koraiensis","PD"
"Pinus roxburghii","ND"
"Pinus sylvestris","PD"
"Pinus strobus","PD"
"Pinus sylvestris","ND"
"Pseudotsuga menziesii","PD"
"Tsuga heterophylla","PD"
"Tsuga mertensiana","PD"
"Penstemon ambiguus","PD"
"Penstemon cyananthus","PD"
"Penstemon cyanocaulis","PD"
"Penstemon fremontii","PD"
"Penstemon leiophyllus","PD"
"Penstemon strictus","PD"
"Penstemon subglaber","PD"
"Plantago albicans","PD"
"Veronicastrum virginicum","PD"
"Zizania palustris","PD"
"Phlox divaricata","PD"
"Phlox maculata","PD"
"Phlox pilosa","PD"
"Polemonium reptans","PD"
"Calligonum alaschanicum","PD"
"Calligonum arborescens","PD"
"Calligonum caput-medusae","PD"
"Calligonum chinense","PD"
"Calligonum densum","PD"
"Calligonum junceum","PD"
"Calligonum leucocladum","PD"
"Calligonum mongolicum","PD"
"Calligonum rubicundum","PD"
"Polygonum aviculare","PD"
"Persicaria maculosa","PD"
"Rumex dentatus","PD"
"Zannichellia palustris","PD"
"Ruppia maritima","PD"
"Primula meadia","PD"
"Primula veris","PD"
"Primula vulgaris","PD"
"Adonis vernalis","MD"
"Clematis vitalba","MPD"
"Rhamnus cathartica","PD"
"Rhamnus cathartica","ND"
"Rhamnus persicifolia","PD"
"Ziziphus spina-christi","PY"
"Aruncus dioicus","PD"
"Eriobotrya japonica","PD"
"Potentilla reptans","PD"
"Prunus africana","PD"
"Prunus avium","PD"
"Prunus mahaleb","PD"
"Prunus persica","PD"
"Rosa damascena","PD"
"Rosa soulieana","PD"
"Cormus domestica","PD"
"Spermacoce articularis","PD"
"Acer caudatifolium","PD"
"Aesculus indica","PD"
"Koelreuteria paniculata","PYPD"
"Anisodus tanguticus","PD"
"Nicandra physalodes","PD"
"Tamarix ramosissima","ND"
"Melicytus ramiflorus","ND"
"Melicytus ramiflorus","PD"
"Vitis amurensis","MPD"
"Zostera capricorni","PD"
