"","datasetID","latbi"
"5605","aiello17","Achillea_erba-rotta"
"2152","onen20","Ambrosia_artemisiifolia"
"5172","scocco98","Amsonia_tabernaemontana"
"5625","veatch-blohm11","Arabidopsis_lyrata"
"5865","lo19","Asparagus_acutifolius"
"3259","rostamipoor20","Astragalus_cyclophyllon"
"3173","middleton96","Banksia_saxicola"
"2212","phondani10","Betula_utilis"
"1","momonoki79","Bupleurum_falcatum"
"5920","olmez07","Colutea_armena"
"5940","olmez09","Colutea_armena"
"2576","naumovski05","Degenia_velebitica"
"5344","battaglia93","Eucalyptus_delegatensis"
"2727","battaglia97","Eucalyptus_delegatensis"
"5281","harrison14","Eucalyptus_ovata"
"2356","picciau19","Helichrysum_microphyllum"
"5196","joshi03","Heracleum_candicans"
"3319","tylkowski10","Hippophae_rhamnoides"
"2460","airi09","Hippophae_salicifolia"
"2570","chien11","Ilex_maximowicziana"
"1856","jacquemart21","Juniperus_communis"
"3445","tylkowski09","Juniperus_communis"
"210","winstead71","Liquidambar_styraciflua"
"4047","yang18b","Lithocarpus_glaber"
"3713","yang18a","Maackia_taiwanensis"
"1765","bhatt00","Myrica_esculenta"
"2053","meyer95","Penstemon_acuminatus"
"2008","meyer95","Penstemon_ambiguus"
"1864","meyer94","Penstemon_comarrhenus"
"2098","meyer95","Penstemon_confusus"
"1882","meyer94","Penstemon_cyananthus"
"1918","meyer94","Penstemon_cyanocaulis"
"1945","meyer94","Penstemon_fremontii"
"1963","meyer94","Penstemon_leiophyllus"
"2035","meyer95","Penstemon_linarioides"
"2071","meyer95","Penstemon_pachyphyllus"
"1981","meyer94","Penstemon_subglaber"
"2116","meyer95","Penstemon_utahensis"
"1081","downie98","Picea_glauca"
"288","liu13","Picea_glauca"
"3467","ucler18","Picea_orientalis"
"5535","skordilis95","Pinus_brutia"
"2710","saeed16","Pinus_canariensis"
"1669","morozowska02","Primula_veris"
"5268","zulfiqar15","Quercus_glauca"
"2550","alptekin02","Quercus_libani"
"4402","yang18c","Scaevola_taccada"
"4685","yang10","Scolopia_oldhamii"
"5464","gremer20","Streptanthus_tortuosus"
"4952","edwards73a","Tsuga_heterophylla"
"5100","edwards73b","Tsuga_heterophylla"
"1031","edwards96","Tsuga_mertensiana"
