"'Table I-Abies, fir: nomenclature and occurrence","'(continued)","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'A. holophylla Maxim.","'Manchurian fir, needle fir, Sino-Korean fir","'Khingan Mnts, & N part of Hebei* (N China Highlands), China; S. Sikhote Alin Mnts, Russia; Korean peninsula including Cheju Island (33°30'-49""N)",
"'A. homolepis Sieb. & Zucc. A. brachyphylla Maxim.","'Nikko fir, urajiro-momi, Dake-momi, Nikko-momi","'Mtns of central Honshu & Shikoku, Japan (37°-33°30""N",
"'A. koreana .H.Wilson A. nephrolepis Nakai","'Korean fir","'Confined to the volcanic island of Cheju & the Chiri-san Mtns, South Korea",
"'A. lasiocarpa (Hook.) Nutt. A. bifolia A. Murr;; A. sub-alpina Engelm. A. sub-alpina var. fallax Engelm.","'subalpine fir, alpine fir, balsam fir, white fir, piño real blanco de la sierras, sapin concolore","'W Northwest Territories, Yukon, & SE Alaska, S through British Columbia, SE Alberta to Oregon & in Rocky Mtns to Arizona & New Mexico; local in N California & NE Nevada (64°30'-32°2""N & 105°-145°W)",
"'A. lasiocarpa var. arizonica (Merriam) Lemmon A. bifolia (A. Murr.); A. subalpina Engelm.","'corkbark fir, Rocky Mountain subalpine fir, Rocky Mountain alpine fir, alamo de la sierra, Arizona fir","'SE Arizona E to S central New Mexico, & N to SW Colorado; reported locally in central Colorado",
"'A. magnifica A. Murr. A. campylocarpa A. Murr. A. nobilis var. magnifica Kell.","'California red fir, red fir, golden fir, white fir, red bark fir, magnificent fir","'Sierra Nevada, S Cascade Range, & N Coast Range in California & adjacent Nevada (43°35'-35°40""N",
"'A. mariesii Mast. A. mayriana Miyabe & Kudo","'Maries fir, Toddomatsu fir, Aomori-todo-matsu, O-shirabiso","'Mtns of N & central Honshu, Japan (41°-35°N)",
"'A. nebrodensis (Lojac.) Mattei A. pectinata Gilibert var. nebrodensis Lojac. A. alba Mill. var. nebrodensis (Lojac.) Svob.","'Sicilian fir, Abete delle Nebrodi","'Monte Cervo, Polizzo; Monti Nebrodi & Monte Scalane, Sicily",
"'A. nephrolepis (Trautv. ex Maxim.) Maxim. A. sibirica var. nephrolepis Trautv. A. gracilis Kom.","'Manchurian fir, Khingan fir, Siberian white Amur fir, Hinggan fir","'E Siberia, through Lesser Khingan Mtns, Manchuria, W to Kansu of China & S to Chiri-san, South Korea (54°54'-35°30""N & 113°-140°30'E)",
"'A. nordmanniana (Steven) Spach A. leioclada (Stev.) Gord. A. pectinata var. leioclada (Stev. ex Endl.) Carr.","'Nordmann fir, Caucasian fir, Crimean fir","'W Caucasus & mtns connecting Caucasus with Armenian Highlands (44°-40°N & 46°-38°E)",
"'A. nordmanniana ssp. equi-trojani (Asch. & Sint. ex Boiss.) Coode & Cullen A. bornmuelleriana Mattf.","'Turkey fir","'Mt. Olympus, Bithynia (NW Turkey) to Paphlagonia (N Turkey), Asia Minor (~39°-42°N & 26°-38°W)",
"'A. numidica de Lannoy ex Carrière A. pinsapo var, baborensis Coss. A. baborensis Letourn.","'Algerian fir, Algerian silver fir,","'Kabylie Range, near summits of Mt Babor & Mt.Thabador, Kabylie. NE Algeria",
"'A. pindrow (D. Don) Royle A. webbiana Brandis","'west Himalayan fir, west Himalayan silver fir, Pindrow fir","'W Himalayas, India & Pakistan, N Afghanistan to Nepal & Tibet",
"'A. pinsapo Boiss. A. hispanica De Chamb.","'Spanish fir, Spanish silver fir","'Mtns of Malaga & Granada provinces, S Spain; Morocco (var. marocana)",
"'A. procera Rehd. A. nobilis (Dougl. ex D. Don) Lindl.","'noble fir, red fir, white fir, noble red fir, feather cone fir, Oregon larch","'Washington Cascade Range S through Cascade Range & high peaks of coast ranges to SW Oregon & NWCalifornia (48°30'-41""N)",
"'A. recurvata Mast. A. ernestii Rehd.; A. beissberiana Rehd. & Wilson","'Min fir, Min-kiang fir","'Mtns of Ming River Basin between Min-kiang & Sungpan Districts, Sichuant Province; SVV & C Kansu, NE Yunnan, China (~ 28°-39°N & 100°-106°E)",
"'","'","'",
,,

'Confidence Scores % (Table Cell)
""'79.88281250","'79.88281250","'79.88281250",
"'95.16601563","'94.04296875","'96.48437500",
"'89.01367188","'87.93945313","'90.18554688",
"'83.25195313","'82.22656250","'84.37500000",
"'84.27734375","'83.25195313","'85.44921875",
"'95.60546875","'94.43359375","'96.87500000",
"'92.52929688","'91.40625000","'93.75000000",
"'94.23828125","'93.11523438","'95.50781250",
"'79.78515625","'78.80859375","'80.85937500",
"'80.71289063","'79.73632813","'81.78710938",
"'87.69531250","'86.66992188","'88.91601563",
"'88.62304688","'87.54882813","'89.79492188",
"'87.50000000","'86.47460938","'88.72070313",
"'92.72460938","'91.60156250","'93.94531250",
"'86.76757813","'85.69335938","'87.93945313",
"'88.03710938","'86.96289063","'89.25781250",
"'79.34570313","'78.36914063","'80.41992188",
"'87.50000000","'86.47460938","'88.72070313",
"'49.85351563","'49.24316406","'50.53710938",
