"'Table 5-Abies, fir: fungi and other organisms isolated","'from fir cones and seeds",
"'Organism","'Host tree species",
"'Alternaria spp.","'Abies spp.*",
"'Aspergillus spp.","'Abies spp.",
"'Botrytis cinerea Pers.: Fr.","'A. amabilis",
"'Caloscypha fulgens (Pers.) Boud.","'A. grandis",
"'Cephalosporium spp.","'Abies spp.",
"'Ciboria rufo-fusca (O.Weberb.) Sacc.","'A. alba, nordmanniana",
"'Cladosporium spp.","'A. grandis, magnifica, X shastensis",
"'Cylindrocarpon spp.","'A. amabilis, sibirica, Abies spp.",
"'Fusarium culmorum (Wm.G.Sm.) Sacc.","'Abies spp.",
"'Fusarium moniliforme J. Sheld.","'A. grandis, nordmanniana",
"'Fusarium oxysporum Schlechtend.: Fr.","'A. grandis, procera",
"'Fusarium roseum Link: Fr.","'A. grandis, procera",
"'Fusarium semitectum Berk.& Ravenel var. majus (Wollenweb.)","'A. amabilis",
"'Fusarium spp.","'Abies spp.",
"'Geniculodendron pyriforme G.A. Salt","'A. amabilis, grandis",
"'Heterobasidion annosum (Fr.:Fr.) Bref.","'Abies spp.",
"'Lirula macrospora (R. Hartig) Darker","'Abies spp.",
"'Melanospora zamiae Corda","'Abies spp.",
"'Mucor spp.","'Abies spp.",
"'Papulospora spp.","'A. amabilis, grandis",
"'Penicillium spp.","'A. amabilis, grandis, magnifica, X shastensis, procera",
"'Phoma spp.","'Abies spp.",
"'Rhacodium therryanum Theum.","'A. sachalinensis",
"'Rhizoctonia solani Kühn","'A. balsamea, fraseri, grandis",
"'Sclerotium spp.","'A. mariesii, Abies spp.",
"'Trichoderma spp.","'A. amabilis, grandis, Abies spp.",
"'Tricothecium roseum (Pers.:Fr.) Link","'A. grandis",
"'Truncatella hartigii (Tub.) Steyaert","'Abies spp.",
"'Virus-like particles","'A. alba, homolepis",
,

'Confidence Scores % (Table Cell)
""'87.89062500","'87.89062500",
"'96.04492188","'96.33789063",
"'88.67187500","'88.96484375",
"'75.63476563","'75.83007813",
"'91.16210938","'91.45507813",
"'82.12890625","'82.37304688",
"'80.37109375","'80.61523438",
"'78.32031250","'78.51562500",
"'77.24609375","'77.49023438",
"'72.55859375","'72.80273438",
"'83.49609375","'83.74023438",
"'82.22656250","'82.47070313",
"'85.20507813","'85.44921875",
"'83.10546875","'83.34960938",
"'86.71875000","'87.01171875",
"'85.88867188","'86.13281250",
"'90.82031250","'91.11328125",
"'90.33203125","'90.57617188",
"'89.06250000","'89.35546875",
"'88.33007813","'88.57421875",
"'86.47460938","'86.76757813",
"'79.15039063","'79.39453125",
"'77.83203125","'78.07617188",
"'82.51953125","'82.81250000",
"'83.74023438","'83.98437500",
"'86.37695313","'86.62109375",
"'90.13671875","'90.38085938",
"'74.60937500","'74.85351563",
"'74.65820313","'74.90234375",
"'72.80273438","'73.04687500",
"'95.65429688","'95.94726563",
