"'","'","'","'","'",
"'","'Air-drying*","'Kiln-drying","'period","'",
"'Species","'period (days)","'Time (hr)","'Temp (C)","'",
"'A. amabilis","'60-180","'6-14 t","'30-38","'",
"'A. balsamea","'20-30","'0","'-","'",
"'A. concolor","'7-14","'0","'-","'",
"'A. firma","'14","'(t)","'48","'",
"'A. fraseri","'30-45","'0","'-","'",
"'A. grandis","'60-180","'6-14 t","'30-38","'",
"'A. guatemalensis","'60$","'0","'-","'",
"'A. homolepis","'14","'(#)","'48","'",
"'A. lasiocarpa","'60-180","'6-14","'30-38","'",
"'A. magnifica","'8-21","'0","'","'",
"'A. mariesii","'14","'(#)","'48","'",
"'A. procera","'60-180","'6-14 t","'30-38","'",
"'A. sachalinensis","'14","'(t)","'48","'",
,,,,

'Confidence Scores % (Table Cell)
""'50.68359375","'50.68359375","'50.68359375","'50.68359375","'50.68359375",
"'69.09179688","'70.26367188","'52.34375000","'52.34375000","'43.77441406",
"'69.09179688","'70.26367188","'91.94335938","'53.56445313","'43.77441406",
"'91.01562500","'91.50390625","'89.79492188","'52.29492188","'54.24804688",
"'83.44726563","'83.88671875","'82.32421875","'47.94921875","'49.75585938",
"'86.52343750","'87.01171875","'85.40039063","'49.70703125","'51.56250000",
"'90.91796875","'91.40625000","'89.74609375","'52.24609375","'54.19921875",
"'83.59375000","'84.03320313","'82.47070313","'48.02246094","'49.82910156",
"'87.89062500","'88.37890625","'86.71875000","'50.48828125","'52.39257813",
"'83.64257813","'84.08203125","'82.51953125","'48.04687500","'49.87792969",
"'86.86523438","'87.30468750","'85.69335938","'49.90234375","'51.80664063",
"'87.84179688","'88.33007813","'86.66992188","'50.48828125","'52.39257813",
"'85.44921875","'85.88867188","'84.32617188","'49.09667969","'50.92773438",
"'82.03125000","'82.47070313","'80.95703125","'47.11914063","'48.90136719",
"'84.03320313","'84.52148438","'82.95898438","'48.29101563","'50.09765625",
"'91.94335938","'92.48046875","'90.77148438","'52.83203125","'54.83398438",
