"'Table I-Acacia, acacia:","'nomenclature, occurrence, and","'height","'","'",
"'","'","'Occurrence","'","'Height at",
"'Scientific name & synonym(s)","'Common names","'Native","'US","'maturity (m)",
"'A. auriculiformis A. Cunningham ex Benth.","'earleaf acacia","'Australia","'Florida & Puerto Rico","'12-30",
"'A. decurrens Willd. A. decurrens var. normalis Benth.","'green wattle, black wattle, Sidney black wattle","'Australia","'California & Hawaii","'8-18",
"'A. farnesiana (L.) Willd. Vachellia farnesiana (L.) Wright & Arn.","'sweet acacia, huisache, aroma","'France & Italy","'S US, Puerto Rico, & Virgin Islands","'3-5",
"'A. koa Gray","'koa","'Hawaii","'Hawaii","'24-34",
"'A. mangium Willd. Mangium montanum Rumph.","'mangium","'Indonesia, New Guinea, & Australia","'Hawaii & Puerto Rico","'12-30",
"'A. mearnsii de Wildeman A. decurrens var. mollis Lindl.","'black wattle, green wattle, black wattle","'Australia","'California & Hawaii","'15",
"'A. melanoxylon R. Br. ex Ait. f.","'blackwood, Australian black wood, Tasmanian blackwood, black acacia, Sally wattle","'Australia","'California & Hawaii","'24-36",
"'A. nilotica (L.) Willd. ex Delile A. arabica (Lam.) Willd. Mimosa nilotica L","'gum arabic tree, Egyptian thorn, red heat","'Asia & Africa","'Puerto Rico & Virgin Islands","'3-20",
,,,,

'Confidence Scores % (Table Cell)
""'93.11523438","'93.11523438","'93.11523438","'93.11523438","'93.11523438",
"'54.78515625","'52.73437500","'89.06250000","'89.06250000","'90.82031250",
"'54.78515625","'52.73437500","'90.86914063","'88.76953125","'90.82031250",
"'92.04101563","'91.06445313","'92.18750000","'90.03906250","'91.84570313",
"'89.55078125","'88.62304688","'89.69726563","'87.59765625","'89.35546875",
"'92.48046875","'91.50390625","'92.62695313","'90.47851563","'92.23632813",
"'81.78710938","'80.90820313","'81.93359375","'80.02929688","'81.59179688",
"'90.57617188","'89.64843750","'90.72265625","'88.62304688","'90.38085938",
"'86.57226563","'85.64453125","'86.66992188","'84.66796875","'86.32812500",
"'92.87109375","'91.84570313","'93.01757813","'90.82031250","'92.62695313",
"'93.99414063","'92.96875000","'94.14062500","'91.94335938","'93.75000000",
