"'Table 3-Berberis,","'barberry: seed yield","'data","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'Cleaned seeds(x","'1,000)/weight","'",
"'","'Place","'Fruit","'wt/fruit vol","'Seed","'wt/fruit vol","'","'Range","'Average","'","'",
"'Species","'collected","'kg/hl","'lb/bu","'kg/hl","'lb/bu","'/kg","'/lb","'/kg","'/lb","'Samples",
"'B. koreana","'Carver Co., MN","'39","'30","'4","'3","'-","'-","'84","'38","'2",
"'B. thunbergii","'US","'9-15","'16-25","'","'-","'55-82","'25-37","'64","'29","'5+",
"'B. vulgaris","'US","'-","'","'","'","'75-90","'34-41","'84","'38","'2",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'58.15429688","'58.15429688","'58.15429688","'58.15429688","'58.15429688","'58.15429688","'58.15429688","'58.15429688","'58.15429688","'58.15429688","'58.15429688",
"'63.18359375","'68.06640625","'68.94531250","'68.94531250","'73.58398438","'73.58398438","'75.43945313","'75.43945313","'75.43945313","'75.43945313","'75.43945313",
"'63.18359375","'68.06640625","'68.94531250","'68.94531250","'73.58398438","'73.58398438","'85.74218750","'85.74218750","'66.69921875","'66.69921875","'46.87500000",
"'63.18359375","'68.06640625","'79.24804688","'84.81445313","'85.05859375","'83.10546875","'79.78515625","'87.50000000","'87.20703125","'83.83789063","'46.87500000",
"'88.96484375","'91.89453125","'81.78710938","'87.54882813","'87.84179688","'85.79101563","'82.37304688","'90.33203125","'89.99023438","'86.57226563","'90.52734375",
"'72.46093750","'74.85351563","'66.60156250","'71.28906250","'71.53320313","'69.87304688","'67.08984375","'73.58398438","'73.29101563","'70.50781250","'73.73046875",
"'89.74609375","'92.77343750","'82.56835938","'88.37890625","'88.62304688","'86.57226563","'83.10546875","'91.16210938","'90.82031250","'87.35351563","'91.35742188",
