"'Table 2-Cercis,","'redbud: growth habit,","'height, legume","'color, and size","'","'","'",
"'","'","'","'","'Legume","'size","'Seed",
"'Species","'Growth habit","'Height at maturity (m)","'Legume color","'Length (cm)","'Width (mm)","'diameter (mm)",
"'C. canadensis","'Tree or shrub","'7-12","'Reddish brown","'5-10","'8-18","'4-5",
"'C. canadensis var. texensis","'Shrub or tree","'4-10","'Reddish brown","'6-10","'8-25","'4-5",
"'C. orbiculata","'Shrub or tree","'2-6","'Reddish purple, dull red, to reddish brown","'4-9","'13-25","'3-4",
,,,,,,

'Confidence Scores % (Table Cell)
""'96.67968750","'96.67968750","'96.67968750","'96.67968750","'96.67968750","'96.67968750","'96.67968750",
"'56.88476563","'53.61328125","'54.39453125","'54.00390625","'86.18164063","'86.18164063","'65.38085938",
"'56.88476563","'53.61328125","'54.39453125","'54.00390625","'80.37109375","'79.00390625","'65.38085938",
"'83.20312500","'83.34960938","'82.76367188","'85.05859375","'81.05468750","'79.68750000","'85.69335938",
"'83.25195313","'83.39843750","'82.81250000","'85.10742188","'81.10351563","'79.73632813","'85.74218750",
"'89.94140625","'90.08789063","'89.50195313","'91.94335938","'87.64648438","'86.18164063","'92.67578125",
