"'Table I-Fraxinus, ash: nomenclature","'and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'F. americana L.","'white ash, Biltmore white ash, Biltmore ash","'Cape Breton Island, Nova Scotia,W to SE Minnesota, & S to Texas & Florida",
"'F. caroliniana P. Mill.","'Carolina ash, swamp ash, water ash, pop ash","'NE Virginia S to S Florida, W to Texas & Arkansas",
"'F. dipetala Hook. & Arn. F. trifoliolata (Torr.) Lewis & Epling","'two-petal ash, flowering ash, foothill ash","'SW Utah, W to Nevada, California, & Mexico",
"'F. excelsior L.","'European ash","'Europe & Asia Minor; widely planted in US",
"'F. latifolia Benth.","'Oregon ash","'Puget Sound in Washington to S California",
"'F. nigra Marsh.","'black ash, basket ash, brown ash, hoop ash, swamp ash, water ash","'Newfoundland to SE Manitoba S to lowa & Delaware",
"'F. ornus L.","'flowering ash","'S Europe & W Asia; widely planted in US",
"'F. pennsylvanica Marsh. F. pennsylvanica var. lanceolata (Borkh.) Sarg.","'green ash, red ash, Darlington ash, white ash, swamp ash, water ash","'Cape Breton Island to Alberta, S to Texas & NW Florida",
"'F. profunda (Bush) Bush","'pumpkin ash, red ash","'S Maryland & Illinois, S to Louisiana & N Florida",
"'F. quadrangulata Michx.","'blue ash","'S Ontario and Wisconsin, S to NE Oklahoma & NW Georgia",
"'F. uhdei (Wenzig) Lingelsh.","'Shamel ash, tropical ash, fresno","'W-central Mexico through Guatemala; planted in Hawaii & Puerto Rico",
"'F. velutina Torr.","'velvet ash, desert ash, leatherleaf ash, smooth ash, Modesto ash, Arizona ash, Toumey ash","'Utah & Nevada, S to S California & SW Texas",
,,

'Confidence Scores % (Table Cell)
"'87.35351563","'87.35351563","'87.35351563",
"'94.28710938","'94.58007813","'95.21484375",
"'92.91992188","'93.16406250","'93.84765625",
"'90.77148438","'91.06445313","'91.69921875",
"'92.13867188","'92.43164063","'93.06640625",
"'80.61523438","'80.85937500","'81.39648438",
"'81.68945313","'81.93359375","'82.51953125",
"'94.58007813","'94.82421875","'95.50781250",
"'77.92968750","'78.12500000","'78.71093750",
"'94.82421875","'95.11718750","'95.80078125",
"'77.00195313","'77.24609375","'77.78320313",
"'92.48046875","'92.77343750","'93.40820313",
"'91.06445313","'91.30859375","'91.99218750",
"'93.60351563","'93.89648438","'94.53125000",
