"'Table I-Alnus, alder: nomenclature and","'occurrence","'",
"'Scientific name(s) & synonyms","'Common name(s)","'Occurrence",
"'A. glutinosa (L.) Gaertn. A. alnus (L.) Britt. A. rotundifolia Mill.; A. vulgaris Hill Betula alnus var. glutinosa L.","'European alder, black alder, European black alder","'Native of Europe, northern Africa, & Asia; naturalized locally in parts of E Canada & NE US, cultivated in E, central, & S US",
"'A. incana (L.) Moench Betula alnus var. incana L.","'mountain alder, European speckled alder, hoary alder, gray alder","'Native of Europe & the Caucasus area; occurs in North America only under cultivation",
"'A. incana ssp. rugosa (Du Roi) Clausen A. incana var. americana Reg. A. glauca Michx. A. rugosa (Du Roi) Spreng. var. americana (Reg.) Fern A. rugosa var. tomophylla (Fern.) Fern. Betula alnus var. rugosa Du Roi","'speckled alder, tag alder, swamp alder, aulne blanchâtre","'E & central Canada, N central US & in Appalachian Mtns to West Virginia & Maryland",
"'A. incana ssp. tenuifolia (Nutt.) Breitung A. incana var. occidentalis (Dippel) Hitch. A. incana var. virescens S.Wats. A. occidentalis Dippel A. rugosa var. occidentalis (Dippel) Hitch. A. tenuifolia Nutt.","'thinleaf alder, mountain alder","'Yukon & Alaska S to W Montana & Oregon, in Sierra Nevada to central California, & E to Arizona & New Mexico",
"'A. maritima (Marsh.) Muhl. ex Nutt. A. maritima ssp. metoporina (.Furlow) E. Murr A. metoporina Furlow Betula-alnus maritima Marsh.","'seaside alder, brook alder","'Widely disjunct populations in Delaware, Maryland, & Oklahoma",
"'A. nepalensis D. Don A. boshia Buch.-Hamilt. ex D. Don Clethropsis nepalensis (D. Don) Spach.","'Nepal alder, utis, maibao","'Native of India & Burma; planted in Hawaii",
"'A. oblongifolia Torr.","'Arizona alder, New Mexican alder, aliso (Mexico)","'Scattered populations in high mtns of Arizona, New Mexico, & Mexico",
"'A. rhombifolia Nutt. A. rhombifolia var. bernardina Munz & Johnson","'white alder, Sierra alder, California alder","'Interior of S British Columbia, Washington, Oregon, & Idaho; Sierra Nevada & coastal ranges in California & N Baja California",
"'A. rubra Bong. A. oregona Nutt. A. oregona var. pinnatisecta Starker","'red alder, Oregon alder, western alder, Pacific Coast alder","'Pacific Coast region from SE Alaska to S California",
"'A. serrulata (Ait.) Willd. A. incana var. serrulata (Ait.) Boivin A. novebroacensis Britt. A. rubra (Marsh.) Tuckerman A. rugosa (Du Roi) Spreng. var. serrulata (Ait.) Winkler A. serrulata var. subelliptica Fern. Betula serrulata (Ait.)","'hazel alder, smooth alder, black alder","'SW Nova Scotia & central Maine W to Missouri & S to E Texas & Florida",
,,

'Confidence Scores % (Table Cell)
""'88.03710938","'88.03710938","'88.03710938",
"'91.94335938","'90.38085938","'92.18750000",
"'96.14257813","'94.48242188","'96.38671875",
"'90.57617188","'89.01367188","'90.77148438",
"'95.31250000","'93.65234375","'95.55664063",
"'95.36132813","'93.70117188","'95.60546875",
"'94.72656250","'93.11523438","'94.97070313",
"'89.35546875","'87.79296875","'89.59960938",
"'75.83007813","'74.51171875","'76.02539063",
"'90.33203125","'88.76953125","'90.57617188",
"'93.60351563","'91.94335938","'93.84765625",
"'96.24023438","'94.53125000","'96.48437500",
