"'Table 2-Arctostaphylos,","'manzanita: seed","'weights and filled","'seed percentages","'","'",
"'","'","'","'Seeds/weight","'Filled seeds","'",
"'Species","'Seed unit","'/kg","'/lb","'(%)","'Sample",
"'A. glandulosa","'I-2 seeded","'66,150-97,020","'30,000-44,000","'-","'2",
"'A. glandulosa","'I-3 seeded","'55,125","'25,000","'58","'2",
"'A. glauca","'Entire stone","'990-1,760","'450-800","'83","'5",
"'A. patula","'Variable","'36,690-55,125","'18,000-25,000","'-","'I+",
"'A. patula","'I-seeded","'44,100","'20,000","'85","'I",
"'A. uva-ursi","'I-seeded","'59,535-90,405","'27,000-41,000","'-","'3+",
,,,,,

'Confidence Scores % (Table Cell)
""'95.01953125","'95.01953125","'95.01953125","'95.01953125","'95.01953125","'95.01953125",
"'80.41992188","'73.77929688","'88.47656250","'88.47656250","'81.54296875","'64.06250000",
"'80.41992188","'73.77929688","'90.82031250","'90.18554688","'81.54296875","'64.06250000",
"'84.91210938","'85.05859375","'85.83984375","'85.25390625","'86.42578125","'83.78906250",
"'79.39453125","'79.54101563","'80.27343750","'79.68750000","'80.81054688","'78.32031250",
"'83.64257813","'83.83789063","'84.61914063","'83.98437500","'85.15625000","'82.56835938",
"'79.15039063","'79.29687500","'80.02929688","'79.49218750","'80.56640625","'78.12500000",
"'83.44726563","'83.64257813","'84.42382813","'83.83789063","'84.96093750","'82.37304688",
"'76.17187500","'76.31835938","'77.00195313","'76.46484375","'77.53906250","'75.14648438",
