"'Table I-Salvia, sage:","'nomenclature, habit,","'habitat, and","'geographic distribution","'",
"'Scientific name","'Common name(s)","'Habit","'Habitat","'Distribution",
"'S. apiana Jepson","'white sage","'Subshrub","'Coastal sage scrub, chaparral, pondersoa pine forest, warm desert shrub margins","'Coastal & cis-montane S California S to Baja California",
"'S. dorrii (Kellogg) Abrams","'Dorr sage, purple sage","'Shrub","'Warm & cold desert shrub communities, pinyon-juniper woodland","'W Washington to SE California, Arizona, Utah, & Idaho",
"'S. mellifera Greene","'black sage","'Subshrub","'Coastal sage scrub, chaparral, warm desert shrub margins","'Coastal & cis-montane central California S to Baja California",
"'S. sonomensis Green","'creeping sage","'Mat-forming suffrutescent","'Chaparral, oak woodland, ponderosa pine forest","'Coastal & cis-montane California, mostly in N",
,,,,

'Confidence Scores % (Table Cell)
"'83.98437500","'83.98437500","'83.98437500","'83.98437500","'83.98437500",
"'85.20507813","'83.98437500","'81.93359375","'87.89062500","'87.45117188",
"'90.91796875","'89.59960938","'87.45117188","'93.75000000","'93.26171875",
"'90.18554688","'88.86718750","'86.71875000","'93.01757813","'92.52929688",
"'82.95898438","'81.78710938","'79.78515625","'85.54687500","'85.10742188",
"'90.62500000","'89.30664063","'87.15820313","'93.45703125","'93.01757813",
