"'Table 3-Symphoricarpos,","'snowberry:","'seed yield","'data","'","'","'",
"'","'","'","'Seeds","'(1,000s)/weight","'","'",
"'","'Seed wt/","'Range","'","'Average","'","'",
"'Species","'fresh fruit wt","'Ag","'","'Akg","'","'Samples",
"'S. albus var. albus*","'3","'119-250","'54-113","'167.5","'76","'10",
"'var. laevigatus","'-","'86-144","'39-65.2","'122","'55.4","'5+",
"'S. occidentalis","'5-10","'114-217","'52-98.7","'164","'74.4","'6+",
"'S. orbiculatust","'7","'298-317","'135-144","'308","'140","'2",
"'S. oreophilus var. oreophilus","'","'117-165","'53-75","'141","'53.9","'I",
,,,,,,

'Confidence Scores % (Table Cell)
"'93.79882813","'93.79882813","'93.79882813","'93.79882813","'93.79882813","'93.79882813","'93.79882813",
"'81.83593750","'91.06445313","'86.13281250","'86.13281250","'86.13281250","'86.13281250","'71.53320313",
"'81.83593750","'91.06445313","'81.10351563","'81.10351563","'82.37304688","'82.37304688","'71.53320313",
"'81.83593750","'91.06445313","'87.06054688","'91.89453125","'89.64843750","'84.76562500","'71.53320313",
"'44.45800781","'45.33691406","'45.70312500","'44.94628906","'43.40820313","'43.57910156","'45.04394531",
"'84.86328125","'84.47265625","'82.08007813","'86.66992188","'84.52148438","'79.93164063","'87.59765625",
"'83.93554688","'83.54492188","'81.20117188","'85.74218750","'83.59375000","'79.05273438","'86.66992188",
"'87.50000000","'87.10937500","'84.66796875","'89.40429688","'87.15820313","'82.42187500","'90.33203125",
"'92.23632813","'91.79687500","'89.20898438","'94.23828125","'91.84570313","'86.86523438","'95.21484375",
