"'Table 3-Penstemon,","'penstemon,","'beardtongue:","'germination","'data after","'0 to 24","'weeks of chilling","'",
"'Species","'0 wk","'4 wk","'8 wk","'12 wk","'16 wk","'24 wk","'Samples",
"'P. ambiguus","'35","'21","'19","'10","'16","'31","'3",
"'P. fruticosus","'6","'19","'14","'19","'40","'83","'4",
"'P. leonardii","'0","'I","'22","'82","'80","'80","'2",
"'P. linarioides","'0","'0","'I","'6","'12","'10","'2",
"'P. petiolatus","'100","'-","'-","'100","'100","'100","'I",
"'P. platyphyllus","'I","'55","'66","'99","'97","'100","'7",
"'P. rostriflorus","'18","'17","'54","'83","'","'98","'3",
"'P. sepalulus","'3","'25","'37","'83","'86","'100","'2",
,,,,,,,

'Confidence Scores % (Table Cell)
"'94.48242188","'94.48242188","'94.48242188","'94.48242188","'94.48242188","'94.48242188","'94.48242188","'94.48242188",
"'91.40625000","'88.57421875","'89.74609375","'91.74804688","'92.13867188","'89.45312500","'90.18554688","'92.82226563",
"'90.13671875","'87.35351563","'88.52539063","'90.47851563","'90.86914063","'88.18359375","'88.96484375","'91.55273438",
"'85.40039063","'82.76367188","'83.88671875","'85.69335938","'86.13281250","'83.54492188","'84.27734375","'86.71875000",
"'87.25585938","'84.57031250","'85.69335938","'87.59765625","'87.98828125","'85.40039063","'86.08398438","'88.62304688",
"'88.47656250","'85.74218750","'86.86523438","'88.76953125","'89.20898438","'86.57226563","'87.30468750","'89.84375000",
"'87.01171875","'84.37500000","'85.44921875","'87.35351563","'87.74414063","'85.15625000","'85.88867188","'88.37890625",
"'82.08007813","'79.54101563","'80.61523438","'82.37304688","'82.76367188","'80.27343750","'80.95703125","'83.34960938",
"'84.17968750","'81.54296875","'82.66601563","'84.47265625","'84.86328125","'82.32421875","'83.05664063","'85.44921875",
"'46.43554688","'45.01953125","'45.60546875","'46.60644531","'46.82617188","'45.43457031","'45.82519531","'47.16796875",
