"'Table I-Picea, spruce: nomenclature and","'occurrence of native and cultivated","'species in North America",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'P. abies (L.) Karst. P. excelsa Link","'Norway spruce","'Native of Fennoscandia, W Europe to Ural Mtns of central Russia; widely planted in NE & central US",
"'P. asperata Mast. P. crassifolia Kamarov","'dragon spruce, Chinese spruce","'Native of NW China; occasionally cultivated in US",
"'P. breweriana S. Wats.","'Brewer spruce, weeping spruce","'NW California & SW Oregon",
"'P. engelmannii Parry ex Engelm. P. columbiana Lemmon P. glauca ssp. engelmann (Parry ex Engelmann) T.M.C. Taylor P. engelmanii var. glabrata Goodman","'Engelmann spruce, mountain spruce","'Rocky Mtns from British Columbia S to Arizona & New Mexico; Cascade Range in Washington & Oregon",
"'P. glauca (Moench) Voss P. alba (Aiton) Link P. alba var. albertiana (S. Brown) Beiss. P. albertiana S. Brown; P. canadensis B.S.P. P. canadensis var. albertiana (S. Brown) Rehder P. glauca var. albertiana (S. Brown) Sarg. P. glauca var. posildii Raup P. nigra var. glauca Carr.","'white spruce, Canadian spruce, skunk spruce, cat spruce, Black Hills spruce, western & white spruce, Alberta spruce, Porsild spruce","'Norton Sound to Gulf of Alaska, E across Canada from British Columbia SW Alberta to Labrador, Newfoundland; also in Black Hills of South Dakota",
"'P. glehnii (Fr. Schmidt) Mast.","'Sakhalin spruce","'Native to Sakhalin & Hokkaido; planted in NE US to Newfoundland",
"'P. jezoensis (Siebold & Zucc.) Carr. P. ajanensis (Lindley & Gordon) Fischer ex Carr. P. kamchatkensis LaCassagne P. komarovic Vasiljev P. microsperma (Lindley) Carr.","'Ezo spruce, yeddo spruce, yezo spruce","'Native of SE Russia, Shantar Islands, Kamchatka Peninsula, Sakhalin Island, S to NE China, N Korea, & N Japan",
"'P. koraiensis Nakai","'Korea spruce, Koyama spruce","'N Korea, NE China, & Sikhote-Alin Mtns of SE Russia",
"'P. mariana (Mill.) B.S.P","'black spruce, bog spruce, swamp spruce, eastern spruce","'Alaska to Labrador, Newfoundland; NE & N central US",
"'P. obovata Ledeb. P. abies var. obovata Lindquist","'Siberian spruce","'From White Sea & Kola Peninsula E across Russia to Sea of Okhotsk",
"'P. omorika (Pancic) Purk.","'Serbian spruce","'SE Europe",
"'P. pungens Engelm. P. commutata Horton P. parryana Sarg. P. rubens Sarg. P. australis Small P. nigra (Ait.) Link var. rubra (Du Roi) Engelm. P. rubra (DuRoi) Link (not A. Dietrich)","'blue spruce, Colorado spruce, Colorado blue spruce red spruce, West Virginia spruce, eastern spruce, yellow spruce, he-balsam","'Rocky Mtns in Wyoming, Utah, & Colorado, scattered in Arizona & New Mexico Nova Scotia, S Quebec, New York, & S in Appalachian Mtns to North Carolina",
"'P. sitchensis (Bong.) Carr. P. sitchensis Bong. P. falcata (Rafin.) Suringar P. menziesii (D. Don) Carr. Abies falcata Rafin. A. menziesii (D. Don) Lindley Pinus menziesii Douglas","'Sitka spruce,, coast spruce, tideland spruce, yellow spruce, Alaska spruce","'Gulf of Alaska & Kodiak Island to N California",
"'P. smithiana (Wall.) Boss. P. morinda Link P. ramaleyi A. Nels.","'Himalayan spruce, west Himalayan spruce","'N India & Pakistan",
"'Sources: USDA ARS (2005), NRCS (2001).","'","'",
,,

'Confidence Scores % (Table Cell)
"'88.62304688","'88.62304688","'88.62304688",
"'92.87109375","'90.62500000","'92.82226563",
"'92.96875000","'90.72265625","'92.91992188",
"'82.32421875","'80.32226563","'82.27539063",
"'66.60156250","'64.94140625","'66.55273438",
"'94.72656250","'92.43164063","'94.67773438",
"'96.33789063","'93.94531250","'96.28906250",
"'77.24609375","'75.34179688","'77.19726563",
"'95.84960938","'93.50585938","'95.80078125",
"'78.41796875","'76.46484375","'78.36914063",
"'85.40039063","'83.34960938","'85.40039063",
"'72.02148438","'70.26367188","'72.02148438",
"'57.86132813","'56.44531250","'57.81250000",
"'76.41601563","'74.56054688","'76.41601563",
"'95.45898438","'93.11523438","'95.41015625",
"'95.21484375","'92.91992188","'95.16601563",
"'37.74414063","'37.74414063","'85.69335938",
