"'Table 2 -Pinus, pine:","'mature tree height,","'earliest cultivation, seed","'bearing age, and interval","'between large cone crops (continued)",
"'Species","'Mature tree height (m)","'Year first cultivated","'Age at onset seed bearing","'Years between cone crops",
"'P. resinosa","'21-46","'1756","'20-25","'3-7",
"'P. rigida","'6-30","'1759, earlier","'3-4","'4-9",
"'P. roxburghii","'46-55","'1807","'15-40","'2-4",
"'P. sabiniana","'12-24","'1832","'10-25","'2-4",
"'P. serotina","'12-24","'1713","'4-10","'I",
"'P. sibirica","'40","'1837","'25-35","'3-8",
"'P. strobiformis","'8-38","'1840","'15","'3-4",
"'P. strobus","'24-67","'1705","'5-10","'3-10",
"'P. sylvestris","'24-40","'Long history","'5-15","'4-6",
"'P. taeda","'27-34","'1713","'5-10","'3-13",
"'P. thunbergiana","'30-40","'1855","'6-40","'-",
"'P. torreyana","'8-18","'1853","'12-18","'I",
"'P. virginiana","'15-30","'1739","'5","'I",
"'P. wallichiana","'15-46","'1827","'15-20","'I-2",
"'P. washoensis","'18-46","'","'15-20","'2-5",
,,,,

'Confidence Scores % (Table Cell)
"'90.42968750","'90.42968750","'90.42968750","'90.42968750","'90.42968750",
"'94.28710938","'93.06640625","'93.89648438","'94.72656250","'94.97070313",
"'89.79492188","'88.67187500","'89.45312500","'90.28320313","'90.47851563",
"'82.37304688","'81.34765625","'82.03125000","'82.81250000","'83.00781250",
"'88.13476563","'87.01171875","'87.74414063","'88.57421875","'88.76953125",
"'87.93945313","'86.81640625","'87.54882813","'88.37890625","'88.57421875",
"'91.16210938","'89.99023438","'90.77148438","'91.65039063","'91.84570313",
"'86.13281250","'85.05859375","'85.79101563","'86.57226563","'86.81640625",
"'90.62500000","'89.45312500","'90.23437500","'91.06445313","'91.30859375",
"'87.59765625","'86.47460938","'87.25585938","'88.03710938","'88.28125000",
"'89.20898438","'88.03710938","'88.81835938","'89.64843750","'89.89257813",
"'87.45117188","'86.32812500","'87.10937500","'87.89062500","'88.13476563",
"'90.33203125","'89.16015625","'89.94140625","'90.77148438","'91.01562500",
"'86.66992188","'85.54687500","'86.32812500","'87.10937500","'87.30468750",
"'90.33203125","'89.16015625","'89.94140625","'90.77148438","'91.01562500",
"'82.03125000","'80.95703125","'81.68945313","'82.42187500","'82.61718750",
"'93.89648438","'92.67578125","'93.50585938","'94.38476563","'94.62890625",
