"'Table 3-Pinus,","'pine: phenology of flowering","'and fruiting (continued)","'","'",
"'Species","'Location","'Flowering","'Cone ripening","'Seed dispersal",
"'P. resinosa","'Great Lakes, California","'Apr-June","'Aug-Oct","'Oct-Nov",
"'P. rigida","'New Jersey","'May","'Sept","'Fall §",
"'P. roxburghii","'India","'Feb-Apr","'Winter","'Apr-May",
"'P. sabiniana","'California","'Mar-Apr","'Oct","'Oct Il",
"'P. serotina","'SE US","'Mar-Apr","'Sept","'Spring §",
"'P. sibirica","'Russia","'May","'Aug-Sept","'Not shed",
"'P. strobiformis","'Arizona","'June","'Sep","'Sept-Oct",
"'P. strobus","'NE US","'May-June","'Aug-Sept","'Aug-Sept",
"'P. sylvestris","'Great Britain, California","'May-June","'Sept-Oct","'Dec-Mar",
"'P. taeda","'SE US","'Feb-Apr","'Sept-Oct","'Oct-Dec",
"'P. thunbergiana","'Japan, Long Island","'Apr-May","'Oct-Nov","'Nov-Dec",
"'P. torreyana","'California","'Feb-Mar","'Jun-Jul*","'Sept II",
"'P. virginiana","'E US","'Mar-May","'Sept-Nov","'Oct-Nov §",
"'P. wallichiana","'India","'Apr-June","'Aug-Oct","'Sept-Nov",
"'P. washoensis","'Nevada, California","'July","'Aug-Sept","'Sept",
,,,,

'Confidence Scores % (Table Cell)
"'90.18554688","'90.18554688","'90.18554688","'90.18554688","'90.18554688",
"'92.62695313","'94.18945313","'93.01757813","'94.53125000","'94.58007813",
"'91.55273438","'93.06640625","'91.89453125","'93.40820313","'93.45703125",
"'83.74023438","'85.15625000","'84.08203125","'85.44921875","'85.49804688",
"'88.47656250","'89.94140625","'88.81835938","'90.28320313","'90.33203125",
"'88.37890625","'89.89257813","'88.72070313","'90.18554688","'90.23437500",
"'90.67382813","'92.18750000","'91.01562500","'92.52929688","'92.57812500",
"'84.08203125","'85.49804688","'84.42382813","'85.79101563","'85.83984375",
"'84.08203125","'85.49804688","'84.42382813","'85.79101563","'85.83984375",
"'87.50000000","'88.96484375","'87.84179688","'89.30664063","'89.30664063",
"'88.62304688","'90.08789063","'88.96484375","'90.42968750","'90.47851563",
"'85.00976563","'86.47460938","'85.35156250","'86.76757813","'86.81640625",
"'90.18554688","'91.69921875","'90.57617188","'92.04101563","'92.08984375",
"'84.86328125","'86.32812500","'85.25390625","'86.62109375","'86.66992188",
"'87.64648438","'89.11132813","'87.98828125","'89.40429688","'89.45312500",
"'83.64257813","'85.05859375","'83.98437500","'85.35156250","'85.40039063",
"'92.67578125","'94.23828125","'93.01757813","'94.58007813","'94.62890625",
