"'Table 3-Populus, poplar,","'cottonwood, aspen: phenology of","'flowering and fruiting","'",
"'Species","'Location","'Flowering","'Seed ripening & dispersal",
"'P. X acuminata","'Nebraska","'May","'July",
"'P. alba","'Nebraska","'Apr-May","'Early June",
"'","'NE US","'Apr-May","'May-June",
"'","'S Michigan","'Mar-Apr","'May-June",
"'P. balsamifera","'Alberta","'Late Apr","'Early June-early July",
"'","'Lake States","'Apr-May","'May-June",
"'","'Interior Alaska","'May-June","'July",
"'P. balsamifera spp. trichocarpa","'Vancouver Island, British Columbia","'Apr-June","'Late May-mid-July",
"'P. X canescens","'Great Lakes region","'Late Apr","'Late May",
"'P. deltoides","'Lower Mississippi Valley","'Early Mar-early Apr","'Mid-May-late Aug",
"'","'NE US","'Apr-early May","'May-mid-June",
"'spp. monilifera","'Alberta","'","'late June-early Aug",
"'","'Lincoln, Nebraska","'Apr-May","'June",
"'spp. wislizeni","'Albuquerque, New Mexico","'Apr-May","'June-July",
"'P. fremontii","'Central Arizona","'mid-Feb-mid-Mar","'Mar-Apr",
"'P. grandidentata","'Syracuse, New York","'Mid-Mar-mid-Apr","'Mid-May-late May",
"'","'S Michigan","'Late Mar-min-May","'early May-late June",
"'","'New England","'Mid-Mar-Apr","'May-early June",
"'","'N Great Lakes region","'Late Apr-early May","'Late May-early June",
"'P. heterophylla","'Mississippi","'Mar-May","'Apr-July",
"'P. maximowiczii","'Rochester, New York","'Late Apr","'Aug",
"'P. nigra","'Rochester. New York","'Apr","'Late May",
"'P. tremula","'N Great Lakes region","'Mid-Apr","'Mid-May",
"'P. tremuloides","'Great Lakes region","'Late Mar-early May","'Mid-May-mid-June",
"'","'Alberta, Canada","'Early Apr-early May","'Mid-May-mid-June",
"'","'New England","'Mid-Mar-Apr","'May-early June",
"'","'Interior Alaska","'Apr-May","'Late May-early June",
"'P. tremula","'N Great Lakes region","'Mid-Apr","'Mid-May",
"'","'","'","'",
,,,

'Confidence Scores % (Table Cell)
"'88.23242188","'88.23242188","'88.23242188","'88.23242188",
"'93.70117188","'95.16601563","'93.94531250","'95.70312500",
"'91.84570313","'93.31054688","'92.08984375","'93.84765625",
"'80.56640625","'87.45117188","'86.32812500","'87.93945313",
"'80.56640625","'91.84570313","'90.67382813","'92.38281250",
"'80.56640625","'89.20898438","'88.03710938","'89.69726563",
"'86.37695313","'90.72265625","'89.55078125","'91.21093750",
"'86.37695313","'91.65039063","'90.47851563","'92.18750000",
"'86.37695313","'84.47265625","'83.39843750","'84.96093750",
"'91.65039063","'93.06640625","'91.89453125","'93.60351563",
"'89.16015625","'90.57617188","'89.40429688","'91.06445313",
"'77.44140625","'88.57421875","'87.40234375","'89.06250000",
"'77.44140625","'89.35546875","'88.18359375","'89.84375000",
"'84.71679688","'89.40429688","'88.23242188","'89.89257813",
"'84.71679688","'89.30664063","'88.13476563","'89.79492188",
"'90.62500000","'92.04101563","'90.82031250","'92.57812500",
"'87.89062500","'89.30664063","'88.13476563","'89.79492188",
"'83.93554688","'90.57617188","'89.40429688","'91.06445313",
"'83.93554688","'90.52734375","'89.35546875","'91.01562500",
"'83.93554688","'89.40429688","'88.23242188","'89.89257813",
"'83.93554688","'89.74609375","'88.57421875","'90.23437500",
"'91.30859375","'92.77343750","'91.55273438","'93.26171875",
"'90.47851563","'91.89453125","'90.72265625","'92.43164063",
"'91.01562500","'92.48046875","'91.25976563","'92.96875000",
"'91.79687500","'93.21289063","'91.99218750","'93.75000000",
"'75.19531250","'87.98828125","'86.81640625","'88.47656250",
"'75.19531250","'90.72265625","'89.55078125","'91.21093750",
"'75.19531250","'90.72265625","'89.55078125","'91.21093750",
"'75.19531250","'84.37500000","'83.30078125","'84.86328125",
"'42.91992188","'51.75781250","'51.07421875","'52.05078125",
"'42.91992188","'46.16699219","'45.55664063","'46.41113281",
