"'Table I-Prunus, cherry, peach,","'and plum: nomenclature,","'growth habit,","'and occurrence",
"'Scientific name synonym(s)","'Common name(s)","'Growth habit","'Occurrence",
"'P. alleghaniensis Porter","'Allegheny plum, sloe, Allegheny sloe, Porter plum","'Tree or shrub","'Connecticut to Pennsylvania & S in mtns to Georgia; also in Michigan",
"'P. americana Marsh.","'American plum, wild yellow plum, red plum, goose plum, hog plum","'Tree or shrub","'Massachusetts to Manitoba, New Mexico, central Texas & NW Florida",
"'P. angustifolia Marsh.","'Chickasaw plum, sand plum","'Tree or shrub","'Missouri, S Nebraska to NW Texas & Louisiana; naturalized E to central Florida, New Jersey, & Illinois",
"'P. armeniaca L. Armeniaca vulgaris Lam.","'apricot","'Tree","'W Asia; occasional escape from cultivation",
"'P. avium (L.) L. P. cerasus avium L. Cerasus avium Moench","'mazzard cherry, sweet cherry, gean,* bird cherry*","'Tree","'Europe & W Asia; naturalized locally in SE Canada & E US",
"'P. caroliniana (P. Mill.) Ait.","'Carolina laurel cherry, wild orange","'Tree (evergreen)","'North Carolina to Texas",
"'P. cerasifera Ehrh. P. domestica var. myrobalan L.","'myrobalan plum,* cherry plum, marianna plum,","'Tree","'W Asia; spread from cultivation from Washington to California, also in Michigan to Vermont, S to Ohio, New Jersey, & in Tennessee",
"'P. myrobalana Loisel. P. korolkowi Vilm.","'flowering plum","'","'",
"'P cerasus L. Cerasus vulgaris Mill.","'sour cherry, pie cherry","'Tree","'W Asia & SE Europe; naturalized locally from Nova Scotia & Michigan to N Florida & W-ward",
"'P domestica L. P. damascena Dierb. P. communis Huds.","'garden plum, plum, European plum","'Tree","'W Asia & Europe; naturalized locally in SE Canada, NE US & Oregon",
"'P. domestica var. insititia (L.) Fiori & Paoletti P. domestica insititia Fiori & Paoletti","'bullace plum, damson, damson plum","'Tree or shrub","'W Asia & Europe; naturalized locally from Nova Scotia & Maine to New York SW-ward",
"'P. dulcis (P. Mill) D.A. Webber Prunus amygdalus Batsch Amygdalus dulcis P. Mill. P. communis (L.) Arcang. Amygdalus communis L.","'almond","'Tree","'W Asia & possibly North Africa; occasional escape from cultivation",
"'P. emarginata (Dougl. ex Hook.) D. Dietr. P. mollis Walpers Cerasus prunifolia Greene","'bitter cherry, wild cherry, narrowleaf cherry","'Shrub or tree","'British Columbia to S California, Arizona, & Montana",
"'P. fasciculata (Torr.) Gray","'desert almond","'Shrub","'California to Utah",
"'P. fremontii S. Wats","'desert apricot","'Shrub","'S California",
"'P. gracilis Engelm. & Gray","'Oklahoma plum","'Shrub","'Arkansas to Texas",
"'P. hortulana Bailey","'hortulan plum","'Tree","'S Indiana to lowa, Oklahoma, Arkansas, Alabama & W Tennessee",
"'P. ilicifolia (Nutt. ex Hook & Arn.) D. Dietr.","'hollyleaf cherry, islay, evergreen cherry","'Tree or shrub (evergreen)","'Pacific Coast region, central to S California & in N Lower California, & Mexico",
,,,

'Confidence Scores % (Table Cell)
"'89.69726563","'89.69726563","'89.69726563","'89.69726563",
"'94.72656250","'93.75000000","'91.30859375","'95.65429688",
"'95.80078125","'94.77539063","'92.28515625","'96.72851563",
"'93.45703125","'92.48046875","'90.03906250","'94.33593750",
"'94.92187500","'93.94531250","'91.45507813","'95.84960938",
"'65.03906250","'64.35546875","'62.64648438","'65.62500000",
"'91.21093750","'90.23437500","'87.89062500","'92.08984375",
"'85.30273438","'84.37500000","'82.17773438","'86.08398438",
"'47.11914063","'46.60644531","'45.38574219","'47.55859375",
"'44.45800781","'43.99414063","'42.84667969","'44.87304688",
"'52.73437500","'52.19726563","'50.83007813","'53.27148438",
"'64.79492188","'64.11132813","'62.45117188","'65.38085938",
"'93.60351563","'92.62695313","'90.18554688","'94.48242188",
"'89.69726563","'88.72070313","'86.42578125","'90.52734375",
"'95.55664063","'94.58007813","'92.08984375","'96.48437500",
"'63.91601563","'63.28125000","'61.62109375","'64.55078125",
"'67.04101563","'66.30859375","'64.59960938","'67.67578125",
"'71.38671875","'70.65429688","'68.79882813","'72.07031250",
"'82.47070313","'81.59179688","'79.44335938","'83.25195313",
"'95.94726563","'94.92187500","'92.43164063","'96.82617188",
