"'Table 1-Ribes, currant, gooseberry:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'R. alpinum L. R. opulifolium L.","'alpine currant","'Europe to Siberia",
"'R. americanum P. Mill. R. floridum L'Herit.","'American black currant","'Nova Scotia to Alberta, S to Virginia & New Mexico",
"'R. aureum Pursh Chrysobotrya aurea (Pursh) Rydb. R. flavum Colla; R. tenuiflorum Lindl.","'golden currant, slender golden currant, flowering currant","'E Washington to Saskatchewan & South Dakota, S to California & New Mexico",
"'R. aureum var. villosum DC. R. odoratum H.Wendl. Chrysobotrya odorata (Wendl.) Rydb.","'clove currant, buffalo currant","'South Dakota & Minnesota, S to Missouri, W Texas, & Arkansas",
"'R cereum Dougl. R. churchii A. Nels & Kenn. R. inebrians Lindl.; R. pumilum Nutt.","'wax currant, squaw currant","'British Columbia to central Montana, S to northern Mexico",
"'R. cynosbati L. Grossularia cynosbati (L.) Mill. R. gracile Michx.","'pasture gooseberry, eastern prickly gooseberry","'Nova Scota to Alberta, S to Virginia, Nebraska, & New Mexico",
"'R. hudsonianum Richards. R. petiolare Dougl.","'Hudson Bay currant, wild black currant, northern black currant","'Alaska to Hudson Bay, S to N California, Utah, Wyoming, & Minnesota",
"'R inerme Rydb. Grossularia inermis (Rydb.) Cov. & Britt. R. divaricatum Dougl. var. inerme (Rydb.) McMinn R. purpusii Koehne ex Blank.","'white-stem gooseberry","'British Columbia to Montana, S to California & New Mexico",
"'R lacustre (Pers.) Poir. Limnobotrya lacustris Rydb. R. echinatum Dougl.; R. grossulariodes Michx. R. parvulum Rydb.","'prickly currant, swamp gooseberry, swamp black currant","'Alaska to Newfoundland, S to California, South Dakota, & Pennsylvania",
"'R. missouriense Nutt. Grossularia missouriensis (Nutt). Cov. & Britt. R. gracile Pursh, not Michx.","'Missouri gooseberry","'Minnesota to Connecticut, S to Tennessee, Arkansas, & Kansas",
"'R montigenum McClatchie Limnobotrya montigena McClatchie Rydb. R. lacustre var. molle Gray. R. lentum Cov. & Rose; R. molle Howell","'gooseberry currant, alpine prickly currant, mountain gooseberry","'British Columbia to Montana, S to S California & New Mexico",
"'R. nevadense Kellogg R. ascendens Eastw.; R. grantii Heller","'Sierra currant","'S Oregon, N California, & W Nevada",
"'R. oxyacanthoides ssp. irriguum (Dougl.) Sinnott R. irriguum Dougl. R. divaricatum var. irriguum (Dougl.) Gray Grossularia irrigua (Dougl.) Cov. & Britt.","'Idaho gooseberry, inland black gooseberry","'British Columbia, S to NE Oregon & E to W Montana",
"'R. roezlii Regel Grossularia roezlii (Regel) Cov. & Britt. R. amictum Greene; R. aridum Greene R. urlsonianum Greene","'Sierra gooseberry","'California & Nevada",
"'R. rotundifolium Michx. Grossularia rotundifolia (Michx.) Cov. & Britt. R. triflorum Willd.","'roundleaf gooseberry, Appalachian gooseberry","'Massachusetts to New York S to North Carolina",
"'R. sanguineum Pursh Calobotrya sanguinea (Pursh) Spach Coreosma sanguinea (Pursh) Spach R. glutinosum Benth.","'winter currant, red flowering currant, Oregon currant, blood currant","'W British Columbia, S to California",
"'R. viscosissimum Pursh Coreosma viscosissima (Pursh) Spach R. halli Jancz.","'sticky currant","'British Columbia to Montana, S to California & N Arizona",
,,

'Confidence Scores % (Table Cell)
"'86.86523438","'86.86523438","'86.86523438",
"'87.69531250","'86.76757813","'88.08593750",
"'94.97070313","'93.99414063","'95.41015625",
"'90.52734375","'89.55078125","'90.91796875",
"'92.67578125","'91.69921875","'93.06640625",
"'94.18945313","'93.16406250","'94.58007813",
"'93.06640625","'92.08984375","'93.50585938",
"'92.96875000","'91.99218750","'93.40820313",
"'81.34765625","'80.51757813","'81.73828125",
"'81.49414063","'80.66406250","'81.88476563",
"'93.65234375","'92.67578125","'94.09179688",
"'88.76953125","'87.84179688","'89.20898438",
"'95.06835938","'94.09179688","'95.50781250",
"'58.25195313","'57.66601563","'58.54492188",
"'88.91601563","'87.98828125","'89.35546875",
"'90.23437500","'89.25781250","'90.62500000",
"'93.35937500","'92.38281250","'93.79882813",
"'93.45703125","'92.48046875","'93.89648438",
"'91.25976563","'90.33203125","'91.69921875",
