"'Table 2-Ribes, currant, gooseberry:","'growth habit, height at maturity","'and year of first","'cultivation",
"'Species","'Growth habit","'Height at maturity (m)","'Year first cultivated",
"'R. alpinum","'Dense, unarmed shrub","'0.9-2.4","'1588",
"'R. americanum","'Unarmed shrub","'0.6-1.8","'1727",
"'R. aureum","'Unarmed shrub","'0.9-3.0","'1806",
"'R. aureum var. villosum","'Unarmed shrub","'0.9-3.0","'1812",
"'R. cereum","'Unarmed shrub","'0.3-1.5","'1827",
"'R. cynosbati","'Prickly shrub","'1.5","'1759",
"'R. hudsonianum","'Unarmed shrub","'0.3-1.8","'1899",
"'R. inerme","'Prickly shrub","'0.9-2.1","'1899",
"'R. lacustre","'Prickly shrub","'0.3-1.8","'1812",
"'R. missouriense","'Prickly shrub","'0.3-1.8","'1907",
"'R. montigenum","'Low, very prickly shrub","'0.3-0.9","'1905",
"'R. nevadense","'Unarmed shrub","'0.9-1.8","'1907",
"'R. oxyacanthoides spp. irriguum","'Prickly shrub","'0.3-2.4","'1920",
"'R. roezlii","'Prickly shrub","'0.6-1.5","'1899",
"'R. rotundifolium","'Low, prickly shrub","'0.9","'1809",
"'R. sanguineum","'Unarmed shrub","'0.9-3.6","'1818",
"'R. viscosissimum","'Hardy, unarmed shrub","'0.3-1.8","'1827",
,,,

'Confidence Scores % (Table Cell)
"'50.39062500","'50.39062500","'50.39062500","'50.39062500",
"'95.60546875","'94.97070313","'94.09179688","'95.75195313",
"'94.28710938","'93.65234375","'92.77343750","'94.43359375",
"'88.91601563","'88.33007813","'87.50000000","'89.01367188",
"'92.62695313","'91.99218750","'91.11328125","'92.77343750",
"'91.35742188","'90.77148438","'89.89257813","'91.50390625",
"'89.79492188","'89.20898438","'88.37890625","'89.94140625",
"'90.96679688","'90.33203125","'89.50195313","'91.06445313",
"'86.23046875","'85.69335938","'84.86328125","'86.37695313",
"'90.18554688","'89.59960938","'88.72070313","'90.33203125",
"'91.16210938","'90.57617188","'89.69726563","'91.30859375",
"'90.62500000","'90.03906250","'89.16015625","'90.77148438",
"'89.69726563","'89.11132813","'88.28125000","'89.84375000",
"'85.30273438","'84.71679688","'83.93554688","'85.40039063",
"'89.99023438","'89.40429688","'88.57421875","'90.13671875",
"'84.57031250","'84.03320313","'83.20312500","'84.71679688",
"'90.33203125","'89.74609375","'88.86718750","'90.47851563",
"'84.76562500","'84.22851563","'83.39843750","'84.91210938",
"'93.99414063","'93.35937500","'92.48046875","'94.14062500",
