"'Table 3-Fagus,","'beech: height, seed-bearing","'age, and seedcrop","'frequency","'","'",
"'","'Height at","'Year first","'Minimum seed-bearing","'Years large","'between seedcrops",
"'Species","'maturity (m)","'cultivated","'age (yrs)","'Time","'Location",
"'F. grandifolia","'21-37","'1800","'40","'2-3","'",
"'","'","'-","'","'4-5","'Wisconsin",
"'F. sylvatica","'20-30","'Long ago","'40-80*","'5-8","'Mtn areas",
"'","'","'","'","'9-12","'Great Britain",
"'","'","'NOT_SELECTED","'-","'3-10","'",
"'","'","'","'-","'15-20","'",
,,,,,

'Confidence Scores % (Table Cell)
""'93.84765625","'93.84765625","'93.84765625","'93.84765625","'93.84765625","'93.84765625",
"'86.66992188","'94.67773438","'93.94531250","'95.16601563","'90.03906250","'90.03906250",
"'86.66992188","'94.67773438","'93.94531250","'95.16601563","'83.30078125","'87.64648438",
"'45.04394531","'82.86132813","'81.34765625","'83.20312500","'77.63671875","'81.64062500",
"'45.04394531","'74.60937500","'73.24218750","'74.90234375","'69.87304688","'73.48632813",
"'51.46484375","'79.73632813","'78.27148438","'80.02929688","'74.65820313","'78.56445313",
"'51.46484375","'79.05273438","'77.63671875","'79.39453125","'74.07226563","'77.92968750",
"'51.46484375","'79.58984375","'78.12500000","'79.93164063","'74.56054688","'78.41796875",
"'51.46484375","'80.17578125","'78.71093750","'80.51757813","'75.09765625","'79.00390625",
