"'Table 3 -Baccharis,","'baccharis:","'germination","'test conditions and","'resulting germination","'","'",
"'","'","'","'Germination test","'condition","'Germination","'",
"'","'","'Temp","'(C)","'","'Average","'",
"'Species","'Medium","'Day","'Night","'Days","'(%)","'Samples",
"'B. angustifolia","'Kimpak","'15.6","'15.6","'55","'21","'2",
"'B. halimifolia","'-","'23","'19","'10","'92","'I",
"'B. pilularis","'Moist paper","'22-24","'19","'10","'93","'I",
"'","'Moist paper","'30","'17.3","'15-30","'92","'I",
"'","'Moist paper","'15-25","'7.2-25","'30","'40-54","'28",
"'B. salicifolia","'-","'30","'20","'15-30","'75-82","'3",
,,,,,,

'Confidence Scores % (Table Cell)
""'94.28710938","'94.28710938","'94.28710938","'94.28710938","'94.28710938","'94.28710938","'94.28710938",
"'61.03515625","'60.83984375","'90.47851563","'90.47851563","'90.47851563","'91.60156250","'91.60156250",
"'61.03515625","'60.83984375","'79.19921875","'79.19921875","'59.17968750","'53.61328125","'48.82812500",
"'61.03515625","'60.83984375","'80.37109375","'87.30468750","'59.17968750","'53.61328125","'48.82812500",
"'85.64453125","'87.20703125","'81.05468750","'88.03710938","'87.01171875","'88.67187500","'87.06054688",
"'78.17382813","'79.63867188","'74.02343750","'80.37109375","'79.44335938","'80.95703125","'79.49218750",
"'45.43457031","'82.61718750","'76.75781250","'83.34960938","'82.37304688","'83.93554688","'82.42187500",
"'45.43457031","'81.20117188","'75.48828125","'81.98242188","'81.00585938","'82.56835938","'81.05468750",
"'45.43457031","'80.07812500","'74.46289063","'80.85937500","'79.88281250","'81.39648438","'79.93164063",
"'42.84667969","'43.62792969","'40.55175781","'44.04296875","'43.53027344","'44.36035156","'43.55468750",
