"'Table 2-Araucaria, araucaria:","'phenology of","'flowering, seed development","'and dispersal, and seedcrop","'intervals",
"'Species","'Flowering","'Seed ripening","'Seed dispersal","'Crop intervals (yrs)",
"'A. angustifolia","'","'Apr-May","'May-Aug","'I",
"'A. bidwillii","'Sept-Oct","'Jan-Feb","'Jan-Feb","'I-2",
"'A. columnaris","'Dec-Jan","'Dec-Feb","'Dec-Feb","'3-4",
"'A. cunninghamii","'","'","'","'",
"'Early-flowering races","'Dec-Jan","'Dec","'Dec","'4-5",
"'Late-flowering races","'Apr-May","'-","'-","'-",
"'A. heterophylla","'Sept","'Apr","'Apr-May","'3-4",
,,,,

'Confidence Scores % (Table Cell)
""'92.57812500","'92.57812500","'92.57812500","'92.57812500","'92.57812500",
"'89.50195313","'86.86523438","'91.30859375","'91.01562500","'91.40625000",
"'81.54296875","'79.15039063","'83.20312500","'82.95898438","'83.25195313",
"'76.12304688","'73.92578125","'77.68554688","'77.44140625","'77.73437500",
"'89.55078125","'86.91406250","'91.35742188","'91.06445313","'91.45507813",
"'36.57226563","'36.57226563","'36.57226563","'36.57226563","'36.57226563",
"'44.84863281","'43.53027344","'45.75195313","'45.60546875","'45.80078125",
"'69.33593750","'67.28515625","'70.75195313","'70.50781250","'70.80078125",
"'89.30664063","'86.66992188","'91.11328125","'90.82031250","'91.21093750",
