"'Table 3-Amelanchier,","'serviceberry: height and","'fruit ripeness criteria","'",
"'Species","'Height at maturity (m)","'Year first cultivated","'Color of ripe fruit",
"'A. alnifolia","'5","'1826","'Blue purple",
"'var. semiintegrifolia","'12","'1826","'Purplish black",
"'A. arborea","'18","'1623","'Reddish purple",
"'A. canadensis","'8","'1641","'Nearly black (sweet)",
"'A. laevis","'9","'1870","'Dark purple",
"'A. sanguinea","'3","'1824","'Dark purple (sweet)",
,,,

'Confidence Scores % (Table Cell)
""'90.33203125","'90.33203125","'90.33203125","'90.33203125",
"'91.79687500","'91.30859375","'92.87109375","'94.92187500",
"'82.86132813","'82.42187500","'83.83789063","'85.69335938",
"'75.78125000","'75.39062500","'76.70898438","'78.36914063",
"'84.47265625","'84.03320313","'85.49804688","'87.35351563",
"'83.34960938","'82.91015625","'84.32617188","'86.18164063",
"'79.98046875","'79.54101563","'80.90820313","'82.71484375",
"'90.72265625","'90.28320313","'91.84570313","'93.84765625",
