"'Table I-Berberis, barberry:","'nomenclature, height, growth","'habit, and color of","'ripe fruit","'",
"'Scientific name & synonym","'Common name(s)","'Height at maturity (m)","'Growth habit","'Color of ripe fruits",
"'B. buxifolia Lam.","'boxleaf barberry","'0.6-2.1","'Deciduous","'Pruinose blue",
"'B. candidula (C.K. Schneid.) C.K. Schneid.","'paleleaf barberry","'0.6-1.2","'Evergreen","'Purplish, bloomy",
"'B. circumserrata (C.K. Schneid.) C.K. Schneid.","'cutleaf barberry","'0.6-0.9","'Deciduous","'Pale red",
"'B. darwinii Hook.","'Darwin barberry","'1.5-2.4","'Evergreen","'Pruinose blue",
"'B. gagnepainii C.K. Schneid.","'black barberry","'0.9-1.8","'Evergreen","'Pruinose blue",
"'B. gilgiana Fedde","'wildfire barberry","'1.8-2.4","'Deciduous","'Reddish",
"'B. julianiae Schneid.","'Julian barberry, wintergreen barberry","'1.8-3.0","'Evergreen","'Bluish-black",
"'B. koreana Palibin.","'Korean barberry","'I.2-1.8","'Deciduous","'Bright red",
"'B. sargentiana C.K. Schneid.","'Sargent barberry","'1.8-2.7","'Evergreen","'Black",
"'B. thunbergii DC. B. trifoliata Moric.","'Japanese barberry","'0.9-1.8","'Deciduous","'Bright red",
"'B. tricanthophora Fedde","'threespine barberry","'0.9-1.5","'Evergreen","'Bluish-black",
"'B. vernae C.K. Schneid.","'Verna barberry","'0.9-1.2","'Deciduous","'Pale red",
"'B. verruculosa Hensl. & E.H. Wilson","'warty barberry","'0.9-1.8","'Evergreen","'Violet-black",
"'B. vulgaris L.","'common barberry, European barberry","'1.8-3.0","'Deciduous","'Scarlet or purple",
,,,,

'Confidence Scores % (Table Cell)
""'88.67187500","'88.67187500","'88.67187500","'88.67187500","'88.67187500",
"'94.82421875","'94.38476563","'93.89648438","'94.82421875","'95.11718750",
"'71.63085938","'71.28906250","'70.89843750","'71.63085938","'71.87500000",
"'84.27734375","'83.88671875","'83.39843750","'84.27734375","'84.52148438",
"'93.26171875","'92.87109375","'92.33398438","'93.26171875","'93.55468750",
"'83.39843750","'83.00781250","'82.51953125","'83.39843750","'83.64257813",
"'86.96289063","'86.57226563","'86.08398438","'86.96289063","'87.20703125",
"'84.47265625","'84.08203125","'83.59375000","'84.47265625","'84.71679688",
"'92.28515625","'91.89453125","'91.35742188","'92.28515625","'92.57812500",
"'86.86523438","'86.47460938","'85.98632813","'86.86523438","'87.10937500",
"'82.56835938","'82.17773438","'81.73828125","'82.56835938","'82.81250000",
"'94.04296875","'93.60351563","'93.06640625","'94.04296875","'94.33593750",
"'85.74218750","'85.35156250","'84.86328125","'85.74218750","'85.98632813",
"'78.32031250","'77.97851563","'77.53906250","'78.32031250","'78.56445313",
"'90.38085938","'89.99023438","'89.50195313","'90.38085938","'90.67382813",
"'93.65234375","'93.21289063","'92.72460938","'93.65234375","'93.94531250",
