"'Table I-Casuarina, casuarina:","'nomenclature, occurrence, and uses","'",
"'Scientific name(s) & synonym","'Common name(s)","'Occurrence (native & introduced)",
"'NOT_SELECTED C. cunninghamiana Miq. C. tenuissima Hort.","'river she-oak, river-oak casuarina, Cunningham beefwood, ironwood","'Australia & New Caledonia; Hawaii, S US, & California",
"'NOT_SELECTED C. equisetifolia L. C. litorea L.","'beach she-oak, Australian pine, horsetail casuarina, horsetail beefwood","'Burma through Australia & Polynesia; Hawaii, Florida, & Puerto Rico",
"'Casuarina glauca Sieb. ex Spreng.","'gray she-oak, longleaf casuarina, longleaf ironwood","'Australia; Hawaii",
,,

'Confidence Scores % (Table Cell)
""'89.20898438","'89.20898438","'89.20898438",
"'90.33203125","'90.33203125","'91.06445313",
"'70.31250000","'70.31250000","'70.89843750",
"'68.06640625","'68.06640625","'68.65234375",
"'72.31445313","'72.31445313","'72.94921875",
