"'Table I-Catalpa, catalpa:","'nomenclature and occurence","'","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence","'Year first cultivated",
"'C. bignonioides Walt. C. catalpa (L.) Karst.","'southern catalpa, common catalpa, Indian-bean, catawba, cigar-tree","'SW Georgia & Florida to Louisiana; naturalized to New England, Ohio, Michigan, & Texas","'1726",
"'C. longissima (Jacq.) Dum.-Cours.","'Haitian catalpa, yokewood, roble de olor, chenn","'Hispaniola & Jamaica; naturalized in Martinique, Guadeloupe, & the Grenadines; planted in Florida, Hawaii, & the West Indies","'",
"'C. speciosa (Warder) Warder ex Engelm.","'northern catalpa, hardy catalpa, western catalpa, western Catawba-tree, Indian-bean, catawba","'SW Indiana & Illinois to NE Arkansas & W Tennessee; widely naturalized in NE & SE US","'1754",
,,,

'Confidence Scores % (Table Cell)
""'82.08007813","'82.08007813","'82.08007813","'82.08007813",
"'88.76953125","'89.84375000","'91.30859375","'88.23242188",
"'86.47460938","'87.50000000","'88.91601563","'85.98632813",
"'87.15820313","'88.18359375","'89.64843750","'86.66992188",
"'91.35742188","'92.43164063","'93.94531250","'90.82031250",
