"'Table 4-Celtis, hackberry:","'seed yield","'data","'","'","'","'",
"'","'","'","'","'Cleaned","'seeds/weight","'",
"'","'Fruits/weight","'","'","'Range","'Average","'",
"'Species","'/kg","'/lb","'/kg","'/lb","'/kg","'/lb",
"'C. laevigata","'4,850","'2,200","'8,150-15,600","'3,700-7,080","'13,200","'6,000",
"'C. laevigata var. reticulata","'-","'-","'5,150-14,500","'2,340-6,600","'10,500","'4,870",
"'C. occidentalis","'4,520","'2,050","'7,700-11,900","'3,500-5,400","'9,500","'4,300",
,,,,,,

'Confidence Scores % (Table Cell)
""'82.08007813","'82.08007813","'82.08007813","'82.08007813","'82.08007813","'82.08007813","'82.08007813",
"'56.68945313","'77.53906250","'77.53906250","'85.69335938","'85.69335938","'85.69335938","'85.69335938",
"'56.68945313","'77.53906250","'77.53906250","'85.40039063","'85.40039063","'85.30273438","'85.30273438",
"'56.68945313","'75.78125000","'84.96093750","'86.08398438","'88.18359375","'85.54687500","'85.35156250",
"'91.21093750","'77.53906250","'86.96289063","'88.03710938","'90.23437500","'87.50000000","'87.30468750",
"'80.81054688","'68.70117188","'77.05078125","'78.02734375","'79.93164063","'77.53906250","'77.34375000",
"'92.13867188","'78.32031250","'87.84179688","'88.96484375","'91.16210938","'88.37890625","'88.23242188",
