"'Table for stratified","'5-Clematis, clematis: seeds","'germination","'test results",
"'Species","'Test duration (days)","'Germination capacity (%)","'# Tests",
"'C. drummondii","'40","'76","'I",
"'C. ligusticifolia","'200","'11-84","'8",
"'C. pauciflora","'-","'36","'I",
"'C. virginiana","'60","'32","'I",
,,,

'Confidence Scores % (Table Cell)
""'40.55175781","'40.55175781","'40.55175781","'40.55175781",
"'88.52539063","'88.42773438","'90.28320313","'87.40234375",
"'78.12500000","'78.02734375","'79.63867188","'77.09960938",
"'73.19335938","'73.09570313","'74.65820313","'72.26562500",
"'72.50976563","'72.36328125","'73.92578125","'71.53320313",
"'86.08398438","'85.93750000","'87.74414063","'84.91210938",
