"'Table 3-Cotoneaster,","'cotoneaster:","'height, year first cultivated,","'and color of flowers and","'ripe fruit",
"'Species","'Height at maturity (m)","'Year first cultivated","'Flower color","'Color of ripe fruit",
"'C. acutifolius","'1.8-3.9","'1883","'Pink","'Black",
"'C. apiculatus","'0.3-1.5","'1910","'Pink","'Scarlet",
"'C. horizontalis","'0.9-1.2","'1880","'White-pink","'Light to dark red",
"'C. integerrimus","'I.2-3.6","'-","'Pinkish","'Red",
"'C. lucidus","'1.8-2.7","'1840","'White, tinged w/pink","'Black",
"'C. niger","'1.5-2.4","'1829","'Pinkish-white","'Blackish red",
,,,,

'Confidence Scores % (Table Cell)
""'83.64257813","'83.64257813","'83.64257813","'83.64257813","'83.64257813",
"'92.28515625","'93.75000000","'93.75000000","'94.28710938","'95.45898438",
"'85.79101563","'87.10937500","'87.10937500","'87.64648438","'88.72070313",
"'80.81054688","'82.08007813","'82.08007813","'82.56835938","'83.59375000",
"'87.25585938","'88.62304688","'88.62304688","'89.16015625","'90.23437500",
"'80.56640625","'81.78710938","'81.78710938","'82.32421875","'83.30078125",
"'80.71289063","'81.98242188","'81.98242188","'82.47070313","'83.49609375",
"'88.47656250","'89.84375000","'89.84375000","'90.42968750","'91.50390625",
