"'Table 1-Cupressus, cypress: nomenclature","'and occurrence","'",
"'Scientific name & synonym(s)","'Common names","'Occurrence",
"'C. abramsiana C.B. Wolf C. goveniana var. abramsiana (C.B.Wolf) Little","'Santa Cruz cypress","'California: Santa Cruz & San Mateo Co.",
"'C. arizonica Greene","'Arizona cypress","'Small, scattered areas in mtns of Arizona, New Mexico, S Texas, & N Mexico at 915-2,450 m",
"'NOT_SELECTED C. arizonica ssp. arizonica Greene C. arizonica var. glabra (Sudsworth) Little C. glabra Sudsworth","'Arizona smooth cypress","'Mtn areas of central Arizona",
"'C. arizonica ssp. nevadensis (Abrams) E. Murray C. arizonica var. nevadensis (Abrams) Little C. macnabiana var. nevadensis (Abrams) Abrams C. nevadendsis Abrams","'Piute cypress","'California: Kern Co., Piute Mtns",
"'C. arizonica ssp. stephensonii C.B.Wolf) Beauchamp C. arizonica var. stephensonii (C.B.Wolf) Little C. stephensonii C. B. Wolf","'Cuyamaca cypress","'California: San Diego Co., Cuyamaca Mtns",
"'C. bakeri Jepson C. bakeri ssp. matthewsii C.B.Wolf","'Modoc cypress, Baker cypress, Siskiyou cypress","'California & Oregon in Siskiyou Mtns & NE California",
"'C. forbesii Jepson C. guadalupensis var. forbesii (Jepson) Little C. quadalupensis ssp. forbesii (Jepson) Beauchamp","'tecate cypress","'San Diego Co., California, & Baja California, Mexico",
"'C. goveniana Gord.","'Gowen cypress","'California coast from Mendocino Co. to San Diego Co.",
"'C. goveniana ssp. pygmaea (Lemmon) Bartel C. goveniana var. pygmaea Lemmon C. pygmaea (Lemmon) Sarg.","'Mendocino cypress, pygmy cypress","'California coast in Mendocino Co.",
"'C. guadalupensis S. Wats.","'Guadalupe cypress","'Mexico, Guadalupe Island",
"'C. lusitanica Mill.","'Mexican cypress, cedar-of-Gog, Portuguese-cedar","'Central Mexico, S to Guatemala & Costa Rica",
"'C. macnabiana A. Murr.","'MacNab cypress","'N California: Sierra Nevada foothills & interior coastal range from Siskiyou to Napa Co.",
"'C. macrocarpa Hartw. ex Gord.","'Monterey cypress","'Central California coast in Monterey Co. between Monterey & Carmel Bays; scattered on inland ridges",
"'C. sargentii Jepson stands","'Sargent cypress","'California, in the coastal range in scattered from Mendocino Co. S to Santa Barbara Co.",
"'C. sempervirens L. C. sempervirens var. stricta Aiton","'Italian cypress, Mediterranean cypress","'Mediterranean area",
"'C. sempervirens var. horizontalis (Mill.) Gord.","'spreading Italian cypress","'Mediterranean area",
"'Cupressus torulosa D.Don C. torulosa var. corneyana Carr.","'Himalayan cypress, surai","'Temperate China to tropical India & Queensland, Australia",
,,

'Confidence Scores % (Table Cell)
""'86.18164063","'86.18164063","'86.18164063",
"'94.09179688","'92.04101563","'94.72656250",
"'95.45898438","'93.40820313","'96.14257813",
"'86.27929688","'84.42382813","'86.91406250",
"'94.09179688","'92.04101563","'94.72656250",
"'94.38476563","'92.33398438","'95.01953125",
"'94.62890625","'92.62695313","'95.31250000",
"'79.93164063","'78.22265625","'80.51757813",
"'94.53125000","'92.48046875","'95.16601563",
"'88.57421875","'86.66992188","'89.20898438",
"'93.26171875","'91.25976563","'93.89648438",
"'50.92773438","'49.80468750","'51.26953125",
"'83.30078125","'81.49414063","'83.88671875",
"'81.34765625","'79.58984375","'81.88476563",
"'94.53125000","'92.48046875","'95.16601563",
"'88.42773438","'86.52343750","'89.06250000",
"'78.27148438","'76.61132813","'78.80859375",
"'69.43359375","'67.96875000","'69.92187500",
"'95.31250000","'93.26171875","'95.99609375",
