"'Table 2-Salvia,","'sage: seed weights","'and maximum","'germination percentages","'","'",
"'","'Seed","'weight","'","'Seeds/weight","'Max",
"'Species","'mg","'oz","'Akg","'/lb","'germination %",
"'S. apiana","'1.4","'.05","'714,400","'324,000","'42",
"'","'1.9","'.07","'511,600","'233,000","'43",
"'S. dorrii","'2.4","'.08","'416,800","'189,000","'53",
"'S. mellifera","'1.1","'.04","'911,000","'413,000","'69",
"'S. sonomensis","'1.5","'.05","'685,800","'311,000","'90",
"'","'0.8","'.03","'1,212,800","'550,000","'70",
,,,,,

'Confidence Scores % (Table Cell)
"'94.33593750","'94.33593750","'94.33593750","'94.33593750","'94.33593750","'94.33593750",
"'81.34765625","'86.08398438","'86.08398438","'85.20507813","'85.20507813","'65.38085938",
"'81.34765625","'81.29882813","'87.54882813","'89.16015625","'85.44921875","'65.38085938",
"'53.90625000","'70.41015625","'75.83007813","'77.24609375","'74.02343750","'77.68554688",
"'53.90625000","'67.18750000","'72.36328125","'73.68164063","'70.60546875","'74.07226563",
"'82.61718750","'77.34375000","'83.30078125","'84.81445313","'81.25000000","'85.30273438",
"'84.03320313","'78.66210938","'84.71679688","'86.27929688","'82.66601563","'86.71875000",
"'47.65625000","'57.86132813","'62.35351563","'63.47656250","'60.83984375","'63.81835938",
"'47.65625000","'40.01464844","'43.09082031","'43.87207031","'42.04101563","'44.11621094",
