"'Table 1-Spiraea, spirea: nomenclature","'and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'S. alba Du Roi","'meadowsweet","'Newfoundland, Quebec to Alberta S to North Carolina, Missouri, & South Dakota",
"'S. alba var. latifolia (Ait.) Dippel S. latifolia (Ait.) Borkh.","'meadowsweet","'SE Canada & NE US",
"'S. betulifolia var. corymbosum (Raf.) Maxim.","'birchleaf spirea","'Maryland, Virginia, West Virginia S to Alabama",
"'S. betulifolia var. lucida (Dougl. ex Greene) C.L. Hitchc.","'birchleaf spirea","'South Dakota, Montana, Idaho, Washington, Oregon, Wyoming, British Columbia, Alberta, & Saskatchewan",
"'S. douglasii Hook.","'Douglas spirea","'Alaska S to N California, British Columbia, Montana, Oregon",
"'S. stevenii (Schneid.) Rydb. S. beauverdiana (Schneid.)","'Beauverd spirea, Alaska spirea","'Alaska & NW Canada",
"'S. tomentosa L.","'hardhack, steeplebush","'Nova Scotia, New Brunswick, & Quebec to Minnesota & S to North Carolina, Tennessee, & Arkansas",
"'S. virginiana Britt.","'Virginia spirea, Appalachian spirea","'West Virginia, Virginia, Tennessee, North Carolina, & Georgia",
,,

'Confidence Scores % (Table Cell)
"'82.56835938","'82.56835938","'82.56835938",
"'91.11328125","'87.59765625","'93.06640625",
"'92.33398438","'88.76953125","'94.28710938",
"'89.16015625","'85.74218750","'91.06445313",
"'87.64648438","'84.27734375","'89.50195313",
"'83.74023438","'80.51757813","'85.49804688",
"'78.02734375","'75.00000000","'79.68750000",
"'90.57617188","'87.10937500","'92.52929688",
"'87.15820313","'83.78906250","'89.01367188",
"'92.91992188","'89.30664063","'94.87304688",
