"'Table 5-Styrax denced by the number","'japonicus, Japanese snowbell: effect of weeks to reach peak","'of storage duration and moisture germination","'on seed germination, as evi-",
"'Months in storage","'Moisture during storage","'Germination peak (%)","'Weeks to peak germination",
"'0","'Dry","'0","'",
"'","'Moist","'0","'-",
"'I","'Dry","'70.8 + 2.2 a","'6.3 + 0.45",
"'","'Moist","'53.3 + 2.2 C","'6.3 + 0.45",
"'2","'Dry","'59.2 + 2.2 bc","'7.0 + 0.45",
"'","'Moist","'65.0 + 2.2 ab","'5.0 + 0.45",
"'3","'Dry","'41.7 + 2.2 d","'6.7 + 0.45",
"'","'Moist","'61.7 + 2.2 b","'5.3 + 0.45",
"'4","'Dry","'28.3 + 2.2 e","'5.3 + 0.45",
"'","'Moist","'66.7 + 2.2 a","'5.7 + 0.45",
,,,

'Confidence Scores % (Table Cell)
"'89.25781250","'89.25781250","'89.25781250","'89.25781250",
"'90.08789063","'92.82226563","'92.62695313","'93.35937500",
"'39.99023438","'81.49414063","'81.34765625","'81.98242188",
"'39.99023438","'65.77148438","'65.62500000","'66.16210938",
"'44.65332031","'79.98046875","'79.83398438","'80.46875000",
"'44.65332031","'72.55859375","'72.41210938","'72.99804688",
"'43.21289063","'83.39843750","'83.25195313","'83.93554688",
"'43.21289063","'77.24609375","'77.09960938","'77.73437500",
"'46.19140625","'77.00195313","'76.80664063","'77.44140625",
"'46.19140625","'69.67773438","'69.53125000","'70.06835938",
"'47.16796875","'64.69726563","'64.55078125","'65.08789063",
"'47.16796875","'79.83398438","'79.68750000","'80.32226563",
