"'Table 2-Taxodium,","'","'baldcypress:","'germination","'test conditions","'and","'results on","'stratified seedlots","'","'",
"'","'","'Germination","'test conditions","'","'Germinative","'","'Germinitive","'","'",
"'","'Daily","'","'Temp","'(C)","'energy","'","'capacity","'","'",
"'Species","'light (hr)","'Medium","'Day","'Night","'Days","'(%)","'Days","'(%)","'Samples",
"'T. ascendens","'8","'Kimpak","'30","'20","'30","'76","'8","'93","'4",
"'T. distichum","'8","'Kimpak","'30","'20","'30","'67","'17","'74","'7",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688",
"'68.70117188","'89.64843750","'89.64843750","'89.64843750","'89.64843750","'94.58007813","'94.58007813","'94.97070313","'94.97070313","'67.82226563",
"'68.70117188","'77.09960938","'65.67382813","'86.66992188","'86.66992188","'94.58007813","'94.58007813","'94.97070313","'94.97070313","'67.82226563",
"'68.70117188","'77.09960938","'65.67382813","'82.86132813","'84.52148438","'87.50000000","'82.42187500","'85.79101563","'81.34765625","'67.82226563",
"'79.54101563","'76.31835938","'78.56445313","'76.07421875","'77.63671875","'80.32226563","'75.68359375","'78.75976563","'74.70703125","'81.83593750",
"'85.35156250","'81.88476563","'84.27734375","'81.64062500","'83.30078125","'86.18164063","'81.20117188","'84.52148438","'80.12695313","'87.79296875",
