"'Table I-Thuja, arborvitae:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'T. occidentalis L.","'northern white-cedar, white-cedar,","'Nova Scotia to Maine & W to Minnesota",
"'T. obtusa Moench","'eastern arborvitae, swamp-cedar,","'& Manitoba; S in Illinois, Ohio,",
"'T. odorata Marshall","'arborvitae, eastern white-cedar","'& New York; locally in Appalachian Mtns.",
"'T. plicata Donn ex D. Don","'western redcedar, Pacific","'Pacific Coast region, from SE",
"'T. plicata D. Don; T. plicata Donn","'redcedar, giant-cedar,","'Alaska to N California, Cascade Mtns. in",
"'T. plicata Donn ex D. Don in Lamb.","'arborvitae, giant arborvitae,","'Washington & Oregon,",
"'T. gigantea Nutt.","'canoe-cedar, shinglewood","'Rocky Mtns in British Columbia,",
"'T. menziesii Dougl. ex Endl.","'","'N Idaho, & W Montana",
"'T. lobbii Hort. ex Gord.","'","'",
"'T. standishii (Gord.) Carr. T. japonica Maxim. Thujopsis standishii Gord.","'Japanese thuja, Japanese arborvitae","'Japan",
"'T. koraiensis Nakai T. kongoënsis Nakai","'Korean thuja, Korean arborvitae","'Korea",
"'T. sutchuensis Frachet","'Sichuan thuja","'China",
,,

'Confidence Scores % (Table Cell)
"'85.35156250","'85.35156250","'85.35156250",
"'90.62500000","'91.35742188","'92.08984375",
"'55.90820313","'56.34765625","'56.78710938",
"'49.43847656","'49.82910156","'50.24414063",
"'49.90234375","'50.29296875","'50.73242188",
"'61.08398438","'61.62109375","'62.10937500",
"'55.66406250","'56.10351563","'56.59179688",
"'52.14843750","'52.58789063","'52.97851563",
"'49.34082031","'49.73144531","'50.14648438",
"'38.40332031","'38.72070313","'39.03808594",
"'40.94238281","'41.28417969","'41.60156250",
"'86.96289063","'87.64648438","'88.37890625",
"'51.56250000","'52.00195313","'52.44140625",
"'87.79296875","'88.52539063","'89.20898438",
