"'Table 2-Morus,","'mulberrry: phenology of","'flowering and fruiting","'",
"'Species","'Location","'Flowering","'Fruit ripening",
"'M. alba","'E US","'May","'July-Aug",
"'","'Nebraska","'May","'June-Aug",
"'","'Oklahoma","'Apr","'Late May-June",
"'M. microphylla","'SW US","'Apr-May","'June-Aug",
"'M. rubra","'E US","'Apr-May","'June-Aug",
,,,

'Confidence Scores % (Table Cell)
"'88.86718750","'88.86718750","'88.86718750","'88.86718750",
"'85.79101563","'87.98828125","'87.54882813","'90.91796875",
"'71.48437500","'73.33984375","'72.94921875","'75.78125000",
"'67.62695313","'69.38476563","'68.99414063","'71.67968750",
"'74.16992188","'76.07421875","'75.68359375","'78.61328125",
"'79.19921875","'81.25000000","'80.81054688","'83.93554688",
"'88.03710938","'90.28320313","'89.79492188","'93.26171875",
