"'Table I-Morus, mulberry:","'nomenclature and occurrence","'",
"'Scientific name & synonyms","'Common name(s)","'Occurrence",
"'M. alba L. M. alba var. tatarica (L.) Ser.","'white mulberry, Russian mulberry, silkworm mulberry","'China; naturalized in Europe & North America",
"'M. microphylla Buckl.","'littleleaf mulberry, Texas mulberry, mountain mulberry","'Arizona, New Mexico, Oklahoma, Texas, & Mexico",
"'M. nigra L. M. rubra L.","'black mulberry, Persian mulberry red mulberry","'Iran; widely cultivated in Europe Vermont & Massachusetts to New York, extreme S Ontario, Michigan, & Wisconsin, SE Minnesota, SE Nebraska, central Kansas, W Oklahoma, central Texas, E to S Florida",
,,

'Confidence Scores % (Table Cell)
"'86.27929688","'86.27929688","'86.27929688",
"'83.64257813","'83.93554688","'85.64453125",
"'40.64941406","'40.79589844","'41.60156250",
"'44.67773438","'44.84863281","'45.72753906",
"'49.04785156","'49.21875000","'50.19531250",
