"'Age of tree (yr)","'Catkins (no.)","'Seeds (no.)",
"'8","'9","'8,700",
"'25","'1,200","'1,275,000",
"'25","'500","'205,000",
"'45","'10,000","'3,300,000",
"'100","'40,000","'54,000,000",
,,

'Confidence Scores % (Table Cell)
"'92.43164063","'90.23437500","'90.82031250",
"'85.49804688","'83.44726563","'84.03320313",
"'90.96679688","'88.81835938","'89.40429688",
"'89.69726563","'87.54882813","'88.13476563",
"'90.91796875","'88.76953125","'89.35546875",
"'92.48046875","'90.28320313","'90.86914063",
