"'Table","'Pseudotsuga, Douglas-fir:","'cone","'drying","'schedules and","'seed yield data","'","'","'",
"'","'Cone","'drying schedule","'","'","'","'","'","'",
"'","'","'","'Kiln-drying","'","'","'","'Seed yield","'",
"'","'Air ying","'Time","'Temp","'Cone","'wt/cone vol","'Seed wt/cone","'vol","'Ratio seed wt/",
"'Species","'(days)","'(hr)","'(C)","'kg/hl","'lb/bu","'kg/hl","'lb/bu","'100 cone wt",
"'P. marocarpa","'8-10","'-","'-","'32-39","'25-30","'1.03","'0.8","'2.8",
"'P. menziesii var. glauca","'4-60","'2-10","'38-43","'32-77","'25-60","'0.65-1.03","'0.5-0.8","'1.0-1.3",
"'var. menziesii","'8-60","'16-48","'32-43","'39-64","'30-50","'0.26-1.03","'0.2-0.8","'0.5-2.0",
,,,,,,,,

'Confidence Scores % (Table Cell)
"'95.31250000","'95.31250000","'95.31250000","'95.31250000","'95.31250000","'95.31250000","'95.31250000","'95.31250000","'95.31250000",
"'71.92382813","'82.66601563","'82.66601563","'82.66601563","'87.84179688","'87.84179688","'94.58007813","'94.58007813","'94.58007813",
"'71.92382813","'72.80273438","'52.53906250","'52.53906250","'87.84179688","'87.84179688","'94.58007813","'94.58007813","'94.58007813",
"'71.92382813","'72.80273438","'77.92968750","'66.01562500","'87.84179688","'87.84179688","'84.71679688","'84.71679688","'72.80273438",
"'71.92382813","'72.80273438","'77.92968750","'66.01562500","'89.01367188","'83.83789063","'86.47460938","'86.08398438","'72.80273438",
"'82.51953125","'80.56640625","'80.32226563","'79.58984375","'82.66601563","'77.88085938","'80.32226563","'79.93164063","'82.76367188",
"'38.23242188","'37.32910156","'37.23144531","'36.88964844","'38.30566406","'36.08398438","'37.23144531","'37.06054688","'38.35449219",
"'71.09375000","'69.43359375","'69.18945313","'68.60351563","'71.24023438","'67.08984375","'69.18945313","'68.89648438","'71.28906250",
