"'Table 6-Rubus, blackberry, raspberry:","'germination results","'","'",
"'Species or variety & source","'Germination temp (C)","'Total germination (%)","'Time to 50% germination",
"'R. idaeus*","'10","'69 (18-94)","'28 days",
"'","'20","'93 (84-96)","'6 days",
"'","'30","'60 (40-88)","'33 days",
"'R. idaeust 'Glen Cova'","'","'","'",
"'No stratification","'-","'48","'-",
"'Stratification","'-","'53","'-",
"'R. idaeus","'","'","'",
"'Bear feces","'","'","'",
"'Acid scarification","'21","'6","'",
"'No scarification","'21","'0","'",
"'Coyote feces","'","'","'",
"'Acid scarification","'21","'10","'",
"'No scarification","'21","'0","'",
"'Fresh seed","'","'","'",
"'Acid scarification","'21","'8","'",
"'No scar.ification","'21","'0","'-",
"'R. spectabilis$","'","'","'",
"'Fresh seeds","'","'","'",
"'Acid scarification","'21-28","'0","'-",
"'Scarification & 2-mon stratification","'21-28","'0","'",
"'Scarification & 4-mon stratification","'21-28","'62","'",
"'Scarification & 6-mon stratification","'21-28","'81","'",
"'Bird feces","'","'","'",
"'No stratification","'21-28","'0","'",
"'4-mon stratification","'21-28","'25","'",
"'6-mon stratification","'21-28","'73","'",
"'Coyote feces","'","'","'",
"'6-mon stratification","'21-28","'6","'",
"'R. chamemoruslI","'","'","'",
"'3-5-mon stratification","'Variable","'<","'",
"'6-9-mon stratification","'Variable","'3-10","'",
"'10-13-mon stratification","'Variable","'30-31","'-",
,,,

'Confidence Scores % (Table Cell)
"'82.95898438","'82.95898438","'82.95898438","'82.95898438",
"'93.70117188","'91.35742188","'93.06640625","'93.99414063",
"'88.03710938","'85.83984375","'87.40234375","'88.28125000",
"'74.31640625","'72.46093750","'73.82812500","'74.56054688",
"'90.23437500","'87.93945313","'89.59960938","'90.47851563",
"'45.89843750","'45.89843750","'45.89843750","'45.89843750",
"'77.58789063","'75.63476563","'77.05078125","'77.83203125",
"'81.34765625","'79.29687500","'80.76171875","'81.59179688",
"'47.55859375","'47.55859375","'47.55859375","'47.55859375",
"'38.62304688","'38.62304688","'38.62304688","'38.62304688",
"'84.66796875","'82.56835938","'84.08203125","'84.96093750",
"'94.62890625","'92.28515625","'93.99414063","'94.92187500",
"'39.42871094","'39.42871094","'39.42871094","'39.42871094",
"'84.66796875","'82.56835938","'84.08203125","'84.96093750",
"'94.43359375","'92.04101563","'93.75000000","'94.67773438",
"'38.20800781","'38.20800781","'38.20800781","'38.20800781",
"'84.37500000","'82.22656250","'83.74023438","'84.61914063",
"'90.57617188","'88.33007813","'89.94140625","'90.86914063",
"'50.58593750","'50.58593750","'50.58593750","'50.58593750",
"'42.33398438","'42.33398438","'42.33398438","'42.33398438",
"'80.02929688","'78.02734375","'79.44335938","'80.27343750",
"'88.96484375","'86.76757813","'88.37890625","'89.25781250",
"'88.86718750","'86.66992188","'88.28125000","'89.16015625",
"'94.18945313","'91.79687500","'93.50585938","'94.43359375",
"'46.87500000","'46.87500000","'46.87500000","'46.87500000",
"'86.52343750","'84.37500000","'85.93750000","'86.81640625",
"'87.89062500","'85.69335938","'87.25585938","'88.13476563",
"'93.75000000","'91.40625000","'93.06640625","'94.04296875",
"'41.77246094","'41.77246094","'41.77246094","'41.77246094",
"'50.24414063","'48.99902344","'49.90234375","'50.39062500",
"'52.92968750","'52.92968750","'52.92968750","'52.92968750",
"'82.76367188","'80.71289063","'82.17773438","'83.00781250",
"'85.64453125","'83.49609375","'85.05859375","'85.88867188",
"'94.62890625","'92.23632813","'93.94531250","'94.87304688",
