"","X","rowID","filePath","pdfPageNumber","scrapedTableNumber","pdfTableNumber","genus","species","seedType","seedSource","medium","pregermTreatment","pregermTreatmentHotWater","pretreatment","stratification","warmStratificationDuration","coldStratificationDuration","photoperiod","tempDay","tempNight","darkRange","testDuration","samples","genusID","pretreatmentFeces","pretreatmentChill","pretreatmentChillDuration","pretreatmentScarifType","pretreatmentScarifTypeGen","responseType","responseValue"
"1",1,1,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germTime",NA
"2",1,1,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germPercentTotal","94"
"3",1,1,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germPercentAvg",NA
"4",1,1,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germRate",NA
"5",1,1,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germEnergyPercentAvg",NA
"6",1,1,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germEnergyPercent",NA
"7",1,1,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germCapacityAvg",NA
"8",1,1,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germCapacity",NA
"9",1,1,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germPercent15degIncubated",NA
"10",1,1,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germPercent20degIncubated",NA
"11",2,2,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","melanocarpa",NA,NA,NA,NA,NA,NA,NA,NA,"90-120",NA,"30","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germTime",NA
"12",2,2,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","melanocarpa",NA,NA,NA,NA,NA,NA,NA,NA,"90-120",NA,"30","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germPercentTotal","22"
"13",2,2,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","melanocarpa",NA,NA,NA,NA,NA,NA,NA,NA,"90-120",NA,"30","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germPercentAvg",NA
"14",2,2,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","melanocarpa",NA,NA,NA,NA,NA,NA,NA,NA,"90-120",NA,"30","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germRate",NA
"15",2,2,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","melanocarpa",NA,NA,NA,NA,NA,NA,NA,NA,"90-120",NA,"30","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germEnergyPercentAvg",NA
"16",2,2,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","melanocarpa",NA,NA,NA,NA,NA,NA,NA,NA,"90-120",NA,"30","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germEnergyPercent",NA
"17",2,2,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","melanocarpa",NA,NA,NA,NA,NA,NA,NA,NA,"90-120",NA,"30","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germCapacityAvg",NA
"18",2,2,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","melanocarpa",NA,NA,NA,NA,NA,NA,NA,NA,"90-120",NA,"30","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germCapacity",NA
"19",2,2,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","melanocarpa",NA,NA,NA,NA,NA,NA,NA,NA,"90-120",NA,"30","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germPercent15degIncubated",NA
"20",2,2,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","melanocarpa",NA,NA,NA,NA,NA,NA,NA,NA,"90-120",NA,"30","20",NA,"30","4",1,NA,"N",NA,NA,NA,"germPercent20degIncubated",NA
"21",3,3,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","x prunifolia",NA,NA,NA,NA,NA,NA,NA,NA,"60",NA,"20","20",NA,"30","2",1,NA,"N",NA,NA,NA,"germTime",NA
"22",3,3,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","x prunifolia",NA,NA,NA,NA,NA,NA,NA,NA,"60",NA,"20","20",NA,"30","2",1,NA,"N",NA,NA,NA,"germPercentTotal","96"
"23",3,3,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","x prunifolia",NA,NA,NA,NA,NA,NA,NA,NA,"60",NA,"20","20",NA,"30","2",1,NA,"N",NA,NA,NA,"germPercentAvg",NA
"24",3,3,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","x prunifolia",NA,NA,NA,NA,NA,NA,NA,NA,"60",NA,"20","20",NA,"30","2",1,NA,"N",NA,NA,NA,"germRate",NA
"25",3,3,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","x prunifolia",NA,NA,NA,NA,NA,NA,NA,NA,"60",NA,"20","20",NA,"30","2",1,NA,"N",NA,NA,NA,"germEnergyPercentAvg",NA
"26",3,3,"C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv",273,6,3,"Aronia","x prunifolia",NA,NA,NA,NA,NA,NA,NA,NA,"60",NA,"20","20",NA,"30","2",1,NA,"N",NA,NA,NA,"germEnergyPercent",NA
