,rowID,file_path,pdf_page_number,scraped_table_number,pdf_table_number,genus_name,species_name,seed_type,seed_source,medium,pregermination_treatment_time_minutes,pregermination_treatment_hot_water_soak_C,pretreatment,stratification_temp_C,warm_stratification_days,cold_stratification_days,dailyl_light_hours,day_temp_celsius,night_temp_celsius,dark_range,test_duration_in_days,germination_time_days,total_germination_percent,avg_germination_percent,samples,germination_rate,avg_germinative_energy_percent,germinative_energy_percent,avg_germinative_capacity,germinative_capacity,percent_germination_15degC_incubated,percent_germination_20degC_incubated,genus_ID,pretreatmentFeces,pretreatmentChill,pretreatmentChillDuration,pretreatmentScarifType,pretreatmentScarifTypeGen
1,1,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,273,6,3,Aronia,arbutifolia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,90,#N/A,20,20,#N/A,30,#N/A,94,#N/A,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,N,#N/A,#N/A,#N/A
2,2,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,273,6,3,Aronia,melanocarpa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,90-120,#N/A,30,20,#N/A,30,#N/A,22,#N/A,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,N,#N/A,#N/A,#N/A
3,3,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,273,6,3,Aronia,x prunifolia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60,#N/A,20,20,#N/A,30,#N/A,96,#N/A,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,N,#N/A,#N/A,#N/A
4,4,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,circinatum,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,20,#N/A,38,10,19,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
5,5,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,ginnala,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,20,#N/A,38,10,52,#N/A,#N/A,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
6,6,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,glabrum,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10 to 16,10 to 16,#N/A,#N/A,30,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
7,7,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,macrophyllum,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
8,8,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,macrophyllum,#N/A,Source 1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2 to 3,2 to 3,#N/A,120,60 to 90,100,#N/A,#N/A,15 to 66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
9,9,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,macrophyllum,#N/A,Source 2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2 to 3,2 to 3,#N/A,120,60 to 90,100,#N/A,#N/A,0 to 13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
10,10,C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv,213,1,6,Acer,macrophyllum,#N/A,Source 3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2 to 3,2 to 3,#N/A,120,60 to 90,100,#N/A,#N/A,8 to 92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,N,#N/A,#N/A,#N/A
