Species,Location,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
S. alaxensis,Alaska-Brooks Range,May-June,June-July,July-Aug,3,Salix
,Alaska-Tanana River,Apr-May,May,May-June,3,Salix
,Alaska-central Interior*,May-June,June-July,July-Aug,3,Salix
S. amygdaloides,NE Minnesota,May-June,,,3,Salix
S. arctica,Canadian high Arctic-,,,,3,Salix
,Ellesmere Island,July,Aug-Sept,,3,Salix
,Interior Alaska,June-July,July-Aug,Aug-Sept,3,Salix
S. bebbiana,,Apr-June,May-June,May-June,3,Salix
S. caroliniana,North & South Carolina,Mar-April,Mar-Apr,,3,Salix
S. discolor,N Ontario & British Columbia,May,,,3,Salix
,"Rocky Mtns, USA",Mar-April,Apr-May,Apr-May,3,Salix
S. eriocephala (as S. rigida),NE Minnesota & N Ontario,Apr-June,June,June-July,3,Salix
S. exigua,,May-July,June-July,June-July,3,Salix
S. fragilis,US & Europe,Apr-May,May-June,May-June,3,Salix
S. glauca,Alaska-Brooks Range,June-July,July-Aug,Sept-Nov,3,Salix
,Alaska-mid-boreal forest,May-June,July-Aug,Sept-Nov,3,Salix
,Alaska-Denali National Park,June-July,July-Aug,Sept-Nov,3,Salix
S. interior,N Ontario,,Aug 13,,3,Salix
S. lucidat,Idaho,Apr-May,June-Aug,June-Aug,3,Salix
S. nigra,In north,Feb-April,Apr-May,Apr-May,3,Salix
,In south,May-June,June-July,June-July,3,Salix
S. petiolaris,General,May-June,June-July,June-July,3,Salix
S. scouleriana,General,Apr-June,May-July,May-July,3,Salix
