Species,Height at maturity (m),Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
E. camaldulensis,18-36,Feb-Apr,July-Oct,Begins 8-9 months after flowering,2,Eucalyptus
E. citriodora,24-39,Nov-Jan,May-Aug,,2,Eucalyptus
E. dalrympleana,18-36,June-Aug,Aug-Oct,Oct-Nov,2,Eucalyptus
E. delegatensis,30-83,Apr-June,Apr-July,May-July,2,Eucalyptus
E. fastigata,18-60,Apr-May,July-Aug,,2,Eucalyptus
E. glaucescens,4-12,July-Aug,May-Sept,Nov-Feb,2,Eucalyptus
E. globulus,45-54,Nov-Apr,Oct-Mar,Oct-Mar,2,Eucalyptus
E. grandis,42-54,Sept-Nov,,,2,Eucalyptus
E. microcorys,30-45,Dec-Feb,,.,2,Eucalyptus
E. nitens,30-90,Apr-July,May-June,May-June,2,Eucalyptus
E. obliqua,15-75,Apr-July,May-Aug,,2,Eucalyptus
E. paniculata,24-42,Feb-May,,,2,Eucalyptus
E. pilularis,36-60,Dec-Mar,Jan-April,All year,2,Eucalyptus
E. regnans,52-105,Apr-July,June-Sept,,2,Eucalyptus
E. robusta,24-27,Jan-Mar,,,2,Eucalyptus
E. rudis,9-15,Jan-Mar,,,2,Eucalyptus
E. saligna,15-45,Apr-June,Oct-Dec,,2,Eucalyptus
E. sideroxylon,12-30,June-Sept,,,2,Eucalyptus
E. viminalis,15-45,All year,12 months after flowering,20-22 months after flowering,2,Eucalyptus
