Species,Location,Flowering,Cone ripening,Seed dispersal,pdf_table_number,genus_name
P. albicaulis,California,July,Aug-Sept,Not shed,3,Pinus
P. aristata,Arizona,July-Aug,Sept-Oct,Sept-Oct,3,Pinus
P. arizonica,Arizona,May,Sept-Oct,Oct,3,Pinus
P. armandii,California,Apr-May,Aug,Aug-Sept,3,Pinus
P. attenuata,California,Apr,Jan-Feb,Closed cone,3,Pinus
P. balfouriana,California,July-Aug,Sept-Oct,Sept-Oct,3,Pinus
P. banksiana,Great Lakes,May-June,Sept,Sept§,3,Pinus
P. brutia,California,Mar-May,Jan-Mar,Closed conet,3,Pinus
P. canariensis,California,Apr-May,Sept,Sept-Oct,3,Pinus
P. caribaea,Cuba,Jan-Feb,July-Aug,Sept,3,Pinus
P. cembra,Germany,May,Aug-Oct,Not shedt,3,Pinus
P. cembroides,California,May-June,Nov-Dec,Nov-Dec,3,Pinus
P. clausa,Florida,Sept-Dec,Sept,Sept§,3,Pinus
P. contorta,,,,,3,Pinus
var. contorta,California,May-June,Sept-Oct,Fall§,3,Pinus
var. latifolia,Rocky Mtns,June-July,Aug-Sept,Sept-Oct §,3,Pinus
var. murrayana,California,May-June,Sept-Oct,Sept-Oct,3,Pinus
P. coulteri,California,May-June,Aug-Sept,Octê,3,Pinus
P. densiflora,California,Apr,Aug-Sept,Sept-Oct,3,Pinus
P. echinata,South Carolina,Mar-Apr,Oct-Nov,Oct-Nov,3,Pinus
P. edulis,Arizona,June,Sept,Sept-Oct,3,Pinus
P. elliottii,,,,,3,Pinus
var. densa,Florida,Jan-Apr,Aug-Sept,Sept-Nov,3,Pinus
var. elliottii,Florida,Jan-Feb,Sept-Oct,Oct,3,Pinus
P. engelmannii,Arizona,May,Nov-Dec,Nov-Feb,3,Pinus
P. flexilis,"California, Montana",June-July,Aug-Sept,Sept-Oct,3,Pinus
P. gerardiana,"India, California",May-June,Sept-Oct,Nov,3,Pinus
P. glabra,Mississippi,Feb-Mar,Oct,Oct-Nov,3,Pinus
P. halepensis,France,May-June,Sept,Fall §,3,Pinus
P. heldreichii,"Italy, California",May-July,Aug-Sept,Sept-Oct,3,Pinus
P. jeffreyi,California,June-July,Aug-Sept,Sept-Oct,3,Pinus
P. kesiya,Philippines,Jan-Mar,Oct-Jan,Feb-Mar,3,Pinus
P. koraiensis,Japan,May-June,Sept,Oct,3,Pinus
P. lambertiana,California,June-July,Aug-Sept,Aug-Oct,3,Pinus
P. leiophylla var. chihuahuana,California,May-June,Nov*,Dec-Jan,3,Pinus
P. merkusii,Thailand,Jan,Apr-Jun,May-Jul,3,Pinus
P. monophylla,"California, Nevada",May,Aug,Sept-Oct,3,Pinus
P. monticola,Idaho,June-July,Aug,Aug-Sept,3,Pinus
P. mugo,Europe,May-June,Oct,Nov-Dec,3,Pinus
P. muricata,California,Apr-June,Sept,Midwinter §,3,Pinus
P. nigra,"Ontario, Canada",May-June,Sept-Nov,Oct-Nov,3,Pinus
P. palustris,SE US,Feb-Mar,Sept-Oct,Oct-Nov,3,Pinus
P. parviflora,Japan,May-June,Sept,Nov,3,Pinus
P. patula,"Mexico, California",Feb-Apr,Dec,Midwinter §,3,Pinus
P. peuce,Europe,May,Fall,Fall,3,Pinus
P. pinaster,"Europe, California",Apr,Nov-Dec,Dec-Jan §,3,Pinus
P. pinea,Europe,May-June,Late summer*,Late summer,3,Pinus
P. ponderosa,,,,,3,Pinus
var. ponderosa,California,Apr-June,Aug-Sept,Aug-Sept,3,Pinus
var. scopulorum,"South Dakota, Colorado",May-June,Aug-Sept,Sept-Jan,3,Pinus
P. pumila,Russia,July,,Fall or not shed t,3,Pinus
P. pungens,"West Virginia, California",Mar-Apr,Fall,Fall §,3,Pinus
P. quadrifolia,California,June,Sept,Sept-Oct,3,Pinus
P. radiata,California,Jan-Feb,Nov,Midwinter §,3,Pinus
