Species,Height at maturity* (m),Year first cultivated,Minimum seed-bearing age (yr),Years between large seedcrops,pdf_table_number,genus_name
P. acuminata,10.7-15.4 (18.5),1898,5-10,I,2,Populus
P. alba,15.4-42.1,LC,10-15,,2,Populus
P. angustifolia,10.7-15.4 (18.5),1893,,I,2,Populus
P. balsamifera,18.5-36.3,Before 1689,8-10,,2,Populus
P. balsamifera spp. trichocarpa,15.4-61.5,1892,10,,2,Populus
P. X canescens,29.2-30.8 (40),LC,8-15,,2,Populus
P. deltoides,24.6-58.5,Before 1750,10,,2,Populus
spp. monilifera,12.3-30.8,1908,10,,2,Populus
spp. wislizeni,2.3-30.8 (40),1894,5,,2,Populus
P. fremontii,15.4-30.8,1904,5-10,,2,Populus
P. grandidentata,9.2-27.7 (30.8),1772,10-20,4-5,2,Populus
P. heterophylla,24.6-27.3 (30.8),1656,10,,2,Populus
P. laurifolia,to 15.4,1830,8-10,,2,Populus
P. maximowiczii,to 30.2,Before 1890,10,I,2,Populus
P. nigra,18.5-30.8,LC,8-12,|,2,Populus
P. simonii,to 12.3+,1862,10,,2,Populus
P. tremula,21.5-38.5,LC,8-10,4.5,2,Populus
P. tremuloides,15.4-27.7 (30.8),1812,10-20,4-5,2,Populus
