Species,Height at maturity (m),Year first cultivated,Minimum seed- bearing age (yrs),Years between large seedcrops,pdf_table_number,genus_name
Q. acutissima,15,1862,5,,NA,NA
Q. agrifolia,23,1849,15,,NA,NA
Q. alba,30,1724,20,4-10,NA,NA
Q. arizonica,12,,,,NA,NA
Q. bicolor,30,1800,20,3-5,NA,NA
Q. cerris,30,1735,,,NA,NA
Q. chrysolepis,30,1877,20,2-4,NA,NA
Q. coccinea,30,1691,20,3-5,NA,NA
Q. douglasii,18,,,2-3,NA,NA
Q. dumosa,6,,,,NA,NA
Q. ellipsoidalis,21,1902,,2-4,NA,NA
Q. emoryi,18,,,,NA,NA
Q. falcata,27,1763,25,I-2,NA,NA
Q. gambelii,15,,,,NA,NA
Q. garryana,21,1873,,2-3,NA,NA
Q. grisea,20,,,,NA,NA
Q. ilicifolia,6,1800,,,NA,NA
Q. imbricaria,21,1724,25,2-4,NA,NA
Q. incana,12,,,,NA,NA
Q. kelloggii,26,1878,30,2-3,NA,NA
Q. laevis,9,1834,,1-2,NA,NA
Q. laurifolia,27,1786,15,I,NA,NA
Q. lobata,30,1874,,2-3,NA,NA
Q. lyrata,24,1786,25,3-4,NA,NA
Q. macrocarpa,30,1811,35,2-3,NA,NA
Q. marilandica,15,,,,NA,NA
Q. michauxii,30,1737,20,3-5,NA,NA
Q. muehlenbergii,24,1822,,,NA,NA
Q. nigra,24,1723,20,1-2,NA,NA
Q. pagoda,34,1904,25,1-2,NA,NA
Q. palustris,24,1770,20,1-2,NA,NA
Q. petraea,30,Long,40,5-7,NA,NA
Q. phellos,30,1723,20,I,NA,NA
Q. prinus,24,1688,20,2-3,NA,NA
Q. robur,34,Long,20,2-4,NA,NA
Q. rubra,30,1724,25,3-5,NA,NA
Q. shumardii,34,1907,25,2-3,NA,NA
Q. sinuata,23,,,,NA,NA
Q. stellata,18,1819,25,2-3,NA,NA
Q. suber,24,1699,12,2-4,NA,NA
Q. texana,30,1923,5,3-4,NA,NA
Q. turbinella,3,,,3-5,NA,NA
Q. vaccinifolia,I,1895,,,NA,NA
Q. variabilis,24,1861,,2,NA,NA
Q. velutina,27,1905,20,2-3,NA,NA
Q. virginiana,18,1739,,I,NA,NA
Q. wislizenii,18,1874,,5-7,NA,NA
