Species,Height (m) at maturity,Year first cultivated,Minimum seed-bearing age (yrs),Years between large seedcrops,pdf_table_number,genus_name
A. circinatum,9,1826,,I-2,NA,NA
A. ginnala,6,1860,5,I,NA,NA
A. glabrum var. glabrum,9,1882,,I-3,NA,NA
A. griseum,8,1901,,,NA,NA
A. macrophyllum,35,1812,10,I,NA,NA
A. negundo,23,1688,,I,NA,NA
A. palmatum,6,1820,,,NA,NA
A. pensylvanicum,II,1755,,,NA,NA
A. platanoides,31,Long ago,,I,NA,NA
A. pseudoplatanus,31,Long ago,,I,NA,NA
A. rubrum,28,1656,4,I,NA,NA
A. saccharinum,28,1725,II,,NA,NA
A. saccharum,31,Long ago,22,3-7,NA,NA
A. spicatum,9,1750,,,NA,NA
