book,Family,Genus,Species,Pollination,Phen.sequence,flo.time,fruiting,imputed_resp,notes
trees,Ginkgoaceae,Ginkgo,biloba,wind,syn,5,autumn,na,
trees,Pinaceae,Abies,balsamea,wind,na,5,autumn,na,
trees,Pinaceae,Abies,concolor,wind,na,5,autumn,na,
trees,Pinaceae,Larix,laricina,wind,na,5,autumn,,
trees,Pinaceae,Picea,mariana,wind,na,5.5,autumn,,
trees,Pinaceae,Picea,glauca,wind,na,5.5,autumn,,
trees,Pinaceae,Picea,pungens,wind,na,5.5,autumn,,
trees,Pinaceae,Picea,abies,wind,na,5,autumn,,
trees,Pinaceae,Pinus,strobus,wind,na,6,autumn_yr2,,
trees,Pinaceae,Pinus,banksiana,wind,na,5.5,autumn_yr2,,
trees,Pinaceae,Pinus,sylvestris,wind,na,5.5,autumn_yr2,,
trees,Pinaceae,Pinus,mugo,wind,na,5.5,autumn_yr2,,
trees,Pinaceae,Pinus,resinona,wind,na,4.5,autumn_yr2,,
trees,Pinaceae,Pinus,nigra,wind,na,5.5,autumn_yr2,,europe
trees,Pinaceae,Pseudotsuga,menziesii,wind,na,5.5,autumn,,
trees,Pinaceae,Tsuga,canadensis,wind,na,4.5,autumn,,
trees,Cupressaceae,Juniperus,virginiana,wind,na,4.5,autumn,,
trees,Cupressaceae,Thuja,occidentalis,wind,na,4.5,autumn,,
trees,Salicaceae,Populus,alba,wind,pro,4.5,5.5,,europe
trees,Salicaceae,Salix,fragilis,insect and wind,syn,4.5,5.5,,europe
trees,Fabaceae,Gymnocladus,dioicus,insect,ser,6,autumn,,
trees,Rosaceae,Malus,coronaria,insect,ser,5,10,,
trees,Rosaceae,Sorbus,americana,insect,ser,5.5,10,,
trees,Rosaceae,Prunus,avium,insect,pro,4,8.5,,europe
trees,Rhamnaceae,Rhamnus,cathartica,insect,syn,5,8.5,,europe
trees,Rhamnaceae,Celtis,tenuifolia,wind,na,5,9,,
trees,Fagaceae,Quercus,prinoides,wind,syn,5,autumn_yr2,,
trees,Fagaceae,Quercus,ellipsoidalis,wind,syn,5,autumn_yr2,,
trees,Betulaceae,Alnus,rugosa,wind,pro,4,autumn,,
trees,Anacardiaceae,Rhus,typhina,insect,ser,6,autumn to late autumn,,autumn to late autumn
trees,Sapindaceae,Acer,nigrum,wind,syn,4.5,10,,
trees,Sapindaceae,Aesculus,hippocastanum,insect,syn,6,10,,europe
trees,Oleaceae,Fraxinus,quadrangulata,wind,pro,4,9.5,,
shrubs_vines,Ericaceae,Andromeda,glaucophylla,insect,na,5.5,8.5,,
shrubs_vines,Araliaceae,Aralia,hispida,na,na,6.5,8.5,,
shrubs_vines,Ericaceae,Arctostaphylos,uva-ursi,insect,syn,5.5,8,,
shrubs_vines,Rosaceae,Aronia,prunifolia,insect,na,6,9.5,,
shrubs_vines,Berberidaceae,Berberis,thunbergii,insect,na,4,9.5,,europe
shrubs_vines,Bignoniaceae,Campsis,radicans,insect,na,7.5,9,,
shrubs_vines,Cannabaceae,Celtis,tenuifolia,wind,pro,5,9,,
shrubs_vines,Ericaceae,Chamaedaphne,calyculata,insect,na,5,9,,
shrubs_vines,Rosaceae,Crateagus,chrysocarpa,insect,syn,5.5,9,,
shrubs_vines,Rosaceae,Crateagus,macrosperma,insect,syn,5.5,9.5,,
shrubs_vines,Rosaceae,Crateagus,punctata,insect,syn,5.5,9.5,,
shrubs_vines,Rosaceae,Crateagus,succulenta,insect,syn,5.5,9.5,,
shrubs_vines,Rosaceae,Dasiphora,fruticosa,insect,na,7.5,na,,fruit persistent through winter
shrubs_vines,Diervillaceae,Diervilla,lonicera,insect,na,6,9.5,,
shrubs_vines,Thymelaeaceae,Dirca,palustris,insect,pro,4.5,6,,
shrubs_vines,Ericaceae,Epigaea,repens,insect,na,4.5,na,,
shrubs_vines,Celastraceae,Euonymus,atropurpureus,insect,na,6,9,,
shrubs_vines,Celastraceae,Euonymus,obovatus,insect,na,4.5,9,,
shrubs_vines,Ericaceae,Gaultheria,hispidula,insect,na,5.5,8,,
shrubs_vines,Ericaceae,Gaultheria,procumbens,insect,na,7.5,10,,
shrubs_vines,Hamamelidaceae,Hamamelis,virginiana,insect,ser,10.5,autumn_yr2,,
shrubs_vines,Hypericaceae,Hypericum,kalmianum,insect,na,7.5,8.5,,
shrubs_vines,Aquifoliaceae,Ilex,mucronata,insect,pro,5,7.5,,
shrubs_vines,Cupressaceae,Juniperus,communis,wind,na,5.5,na,,
shrubs_vines,Cupressaceae,Juniperus,horizontalis,wind,na,na,na,,
shrubs_vines,Ericaceae,Kalmia,angustifolia,insect,na,6.5,na,,
shrubs_vines,Ericaceae,Kalmia,polifolia,insect,na,5.5,na,,
shrubs_vines,Caprifoliaceae,Lonicera,canadensis,insect,na,5.5,8,,
shrubs_vines,Caprifoliaceae,Lonicera,dioica,insect,na,5.5,7.5,,
shrubs_vines,Menispermaceae,Menispermum,canadense,insect,na,6,8.5,,
shrubs_vines,Vitaceae,Parthenocissus,inserta,insect,na,6.5,9.5,,
shrubs_vines,Rosaceae,Physocarpus,opulifolius,insect,na,5.5,8.5,,
shrubs_vines,Fagaceae,Quercus,prinoides,wind,syn,5,autumn,,
shrubs_vines,Ericaceae,Rhododendron,groenlandicum,insect,na,5.5,8.5,,
shrubs_vines,Anacardiaceae,Rhus,aromatica,insect,pro,4.5,7.5,,
shrubs_vines,Anacardiaceae,Rhus,copallina,insect,na,6.5,9,,
shrubs_vines,Anacardiaceae,Rhus,typhina,insect,ser,6,9.5,,
shrubs_vines,Grossulariaceae,Ribes,cynosbati,insect,na,4.5,8,,
shrubs_vines,Rosaceae,Rosa,blanda,insect,na,5.5,9,,
