Publication.Type,Authors,Article.Title,Source.Title,Volume,Issue,Start.Page,Publication.Year,genus,species,accept_reject,reason_reject,language,available,paper_pulled,notes,checkedby,first,firstTemp,surname,studyID
J,EDWARDS D G W; OLSEN P E,A PHOTOPERIOD RESPONSE IN GERMINATION OF WESTERN HEMLOCK SEEDS,Canadian Journal of Forest Research,3,1,146,1973,Tsuga,heterophylla,A,,,,,had to search in UBC library,TA,EDWARDS D G W,EDWARDS D G W,edwards,edwards73
J,"Edwards, DGW; ElKassaby, YA",The effect of stratification and artificial light on the germination of mountain hemlock seeds,SEED SCIENCE AND TECHNOLOGY,24,2,225,1996,Tsuga,mertensiana,A,,,,,,TA,"Edwards, DGW",Edwards,edwards,edwards96
J,"El-Dengawy, EFA","Promotion of seed germination and subsequent seedling growth of loquat (Eriobotrya japonica, Lindl) by moist-chilling and GA(3) applications",SCIENTIA HORTICULTURAE,105,3,331,2005,Eriobotrya,japonica,A,,,,,,TA,"El-Dengawy, EFA",El-Dengawy,el-dengawy,el-dengawy05
J,"Elisafenko, T. V.","Features of seed germination in different ecological groups of the species of the section Violidum, subgenus Nomimium, genus Viola L. (Violaceae)",CONTEMPORARY PROBLEMS OF ECOLOGY,8,4,523,2015,Viola,spp.,A,,,,,,TA,"Elisafenko, T. V.",Elisafenko,elisafenko,elisafenko15
J,"Erken, Kamil",Investigation of Vegetative Properties and Generative Production of the Potential Ornamental and Narrow Endemic Species Verbascum yurtkuranianum (Scrophulariaceae) for Ex situ Conservation,BIORESOURCES,16,4,7529,2021,Verbascum,yurtkuranianum,A,,,,,,DM,"Erken, Kamil",Erken,erken,erken21
J,"Etemadi, N.; Haghighi, M.; Nikbakht, A.; Zamani, Z.","Methods to promote germination of Kelussia odoratissima Mozaff., an Iranian endemic medicinal plant.",Herba Polonica,56,2,21,2010,Kelussia,odoratissima,A,,,,,,GG,"Etemadi, N.",Etemadi,etemadi,etemadi10
J,ETOH T; NOMA Y; NISHITARUMIZU Y; WAKAMOTO T,SEED PRODUCTIVITY AND GERMINABILITY OF VARIOUS GARLIC CLONES COLLECTED IN SOVIET CENTRAL ASIA,Memoirs of the Faculty of Agriculture Kagoshima University,24,33,129,1988,,,A,,,,,,GG,ETOH T,ETOH T,etoh,etoh88
C,"Fadaei, Hadi; Sakai, Tetsuro; Yoshimura, Tetsuhiko; Kazuyuki, Moriya",Effect of temperature and Gebrlic acid on dormancy and germination in specie wild edible Pistachio (Pistacia. vera) (Case Study in Khajeh Kalat forest),IACSIT-SC 2009: INTERNATIONAL ASSOCIATION OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY - SPRING CONFERENCE,NA,,604,2009,Pistacia,vera,A,,,,,,GG,"Fadaei, Hadi",Fadaei,fadaei,fadaei09
J,"Falusi, M.",Geographic variation and seed germination in Pinus brutia.,"Annali, Accademia Italiana di Scienze Forestali",31,,157,1982,multiple,,A,,,,,,GG,"Falusi, M.",Falusi,falusi,falusi82
J,Fang Hai-ling; Li Wei-lin; Liang Cheng-yuan,Effect of different pro-treatment conditions on seed germination of Mentha haplocalyx Briq,Journal of Plant Resources and Environment,18,4,53,2009,Mentha,haplocalyx,A,,,,,,GG,Fang Hai-ling,Fang Hai-ling,fang,fang09
J,"Farhadi, Mostafa; Tigabu, Mulualem; Arian, Alireza Ghasemi; Sharifani, Mehdi; Daneshvar, Abolfazl; Oden, Per Christer",Pre-sowing treatment for breaking dormancy in Acer velutinum Boiss. seed lots,JOURNAL OF FORESTRY RESEARCH,24,2,273,2013,Acer,velutinum,A,,,,Y,,GG,"Farhadi, Mostafa",Farhadi,farhadi,farhadi13
J,"Farooq, M.; Basra, S. M. A.; Cheema, M. A.; Afzal, I.","Integration of pre-sowing soaking, chilling and heating treatments for vigour enhancement in rice (Oryza sativa L.)",SEED SCIENCE AND TECHNOLOGY,34,2,499,2006,Oryza,sativa,A,,,,,,HHN,"Farooq, M.",Farooq,farooq,farooq06
J,"Farooq, M; Basra, SMA; Ahmad, N; Hafeez, K",Thermal hardening: A new seed vigor enhancement tool in rice,JOURNAL OF INTEGRATIVE PLANT BIOLOGY,47,2,187,2005,Oryza,sativa,A,,,,,,HHN,"Farooq, M",Farooq,farooq,farooq05
J,"Fateh, E.; Majnoonhosseini, N.; Arefi, H. M.; Sharif-Zadeh, F.",Seed dormancy methods breakage in Astragalus tribuloides.,Iranian Journal of Rangelands and Forests Plant Breeding and Genetic Research,13,4,345,2006,Astragalus,tribuloides,A,,,,,,HHN,"Fateh, E.",Fateh,fateh,fateh06
J,"Fatemeh, Ahmadloo; Masoud, Tabari; Pejman, Azadi; Aidin, Hamidi",Effect of plant growth promoting rhizobacteria (PGPRs) and stratification on germination traits of Crataegus pseudoheterophylla Pojark. seeds,SCIENTIA HORTICULTURAE,172,,61,2014,Crataegus,pseudoheterophylla,A,,,,,,HHN,"Fatemeh, Ahmadloo",Fatemeh,fatemeh,fatemeh14
J,"Fedewa, Chad A.; Stewart, J. Ryan",Seed Germination Characteristics of Prairie Dropseed (Sporobolus heterolepis),NATURAL AREAS JOURNAL,29,2,188,2009,Sporobolus,heterolepis,A,,,,,,HHN,"Fedewa, Chad A.",Fedewa,fedewa,fedewa09
J,"Feng, Jing; Shen, Yongbao; Shi, Fenghou; Li, Chengzhong","Embryo Development, Seed Germination, and the Kind of Dormancy of Ginkgo biloba L.",FORESTS,9,11,,2018,Ginkgo,biloba,A,,,,,,HHN,"Feng, Jing",Feng,feng,feng18
J,"Fernandez-Pascual, Eduardo; Jimenez-Alfaro, Borja; Emilio Diaz, Tomas",The temperature dimension of the seed germination niche in fen wetlands,PLANT ECOLOGY,214,4,489,2013,Multiple,,A,,,,,,HHN,"Fernandez-Pascual, Eduardo",Fernandez-Pascual,fernandez-pascual,fernandez-pascual13
