datasetID,study,entered.by,genus,species,variety,woody,crop,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemical.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.time.zero,figure,Notes
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,0.05,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,0.312,SE,NA,3,35,0,,Fig 1a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,0.282,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,1.153,SE,NA,3,35,5.966,,Fig 1a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,7.545,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,30.486,SE,NA,3,35,10.959,,Fig 1a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,14.583,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,58.699,SE,NA,3,35,14.966,,Fig 1a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,16.948,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,68.104,SE,NA,3,35,17.987,,Fig 1a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,17.962,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,72.134,SE,NA,3,35,19.925,,Fig 1a,
Batlla03,exp2,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,15,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,0,SE,NA,3,35,-0.004,,Fig 1b,
Batlla03,exp2,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,15,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,11.803,SE,NA,3,35,1.982,,Fig 1b,
Batlla03,exp2,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,15,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,35.729,SE,6.5,3,35,3.967,,Fig 1b,
Batlla03,exp2,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,15,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,54.652,SE,NA,3,35,6.981,,Fig 1b,
Batlla03,exp2,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,15,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,64.222,SE,NA,3,35,8.966,,Fig 1b,
Batlla03,exp2,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,15,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,76.62,SE,NA,3,35,10.976,,Fig 1b,
Batlla03,exp2,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,15,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,81.818,SE,NA,3,35,12.986,,Fig 1b,
Batlla03,exp2,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,2000,,dry,110,,7,temperature,,,15,0.25h red light pulse,0,,,,N,,N,,,N,per.germ,84.521,SE,NA,3,35,14.971,,Fig 1b,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,1999 July,,,,,increasing temp,,,0,0.25h red light pulse/exhumation July 1999,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,0.069,,Fig 4a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,1999 July,,,,,increasing temp,,,0,0.25h red light pulse/exhumation July 1999,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,7.002,,Fig 4a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,1999 July,,,,,increasing temp,,,0,0.25h red light pulse/exhumation July 1999,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,12.975,,Fig 4a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,1999 July,,,,,increasing temp,,,3.74,0.25h red light pulse/exhumation July 1999,0,,,,N,,N,,,N,per.germ,7.013,,NA,3,35,17.918,,Fig 4a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,1999 July,,,,,increasing temp,,,6.338,0.25h red light pulse/exhumation July 1999,0,,,,N,,N,,,N,per.germ,11.883,,NA,3,35,22.037,,Fig 4a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,1999 July,,,,,increasing temp,,,6.338,0.25h red light pulse/exhumation July 1999,0,,,,N,,N,,,N,per.germ,11.883,,NA,3,35,25.95,,Fig 4a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,1999 July,,,,,increasing temp,,,6.338,0.25h red light pulse/exhumation July 1999,0,,,,N,,N,,,N,per.germ,11.883,,NA,3,35,29.931,,Fig 4a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,1999 July,,,,,increasing temp,,,6.338,0.25h red light pulse/exhumation July 1999,0,,,,N,,N,,,N,per.germ,12.078,,NA,3,35,32.952,,Fig 4a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,1999 July,,,,,increasing temp,,,6.338,0.25h red light pulse/exhumation July 1999,0,,,,N,,N,,,N,per.germ,12.078,,NA,3,35,34.874,,Fig 4a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,1999 July,,,,,increasing temp,,,,0.25h red light pulse/exhumation July 1999,0,,,,N,,N,,,N,per.germ,12.078,,NA,3,35,35.904,,Fig 4a,
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,2000 May,,,,,increasing temp,,,0,0.25h red light pulse/exhumation May 2000,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,-0.028,,Fig 4c,respvar should all be zero from just looking at the graph
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,2000 May,,,,,increasing temp,,,0,0.25h red light pulse/exhumation May 2000,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,6.92,,Fig 4c,respvar should all be zero from just looking at the graph
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,2000 May,,,,,increasing temp,,,0,0.25h red light pulse/exhumation May 2000,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,13.155,,Fig 4c,respvar should all be zero from just looking at the graph
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,2000 May,,,,,increasing temp,,,0,0.25h red light pulse/exhumation May 2000,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,17.966,,Fig 4c,respvar should all be zero from just looking at the graph
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,2000 May,,,,,increasing temp,,,0,0.25h red light pulse/exhumation May 2000,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,22.063,,Fig 4c,respvar should all be zero from just looking at the graph
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,2000 May,,,,,increasing temp,,,0,0.25h red light pulse/exhumation May 2000,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,26.161,,Fig 4c,respvar should all be zero from just looking at the graph
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,2000 May,,,,,increasing temp,,,0,0.25h red light pulse/exhumation May 2000,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,29.902,,Fig 4c,respvar should all be zero from just looking at the graph
Batlla03,exp1,SS,Polygonum,aviculare,,N,N,"Balcarce, Argentina",-37.75,-58.25,,South America,,1999,2000 May,,,,,increasing temp,,,0,0.25h red light pulse/exhumation May 2000,0,,,,N,,N,,,N,per.germ,0,,NA,3,35,33.108,,Fig 4c,respvar should all be zero from just looking at the graph
